vn_genome_ids,c00,c10,c01,c11,c1s,c_sum
HG02513,55,9,19,2,30,85
HG02138,57,19,7,2,28,85
HG02075,74,11,0,0,11,85
HG02031,76,0,0,9,9,85
HG02084,72,11,2,0,13,85
HG02047,74,0,2,9,11,85
HG01597,85,0,0,0,0,85
HG01849,54,9,20,2,31,85
HG02023,58,8,17,2,27,85
HG01846,75,0,1,9,10,85
HG02081,55,20,8,2,30,85
HG01599,62,23,0,0,23,85
HG01866,76,0,0,9,9,85
HG02064,72,4,0,9,13,85
HG02069,79,5,1,0,6,85
HG02087,58,7,18,2,27,85
HG02017,75,10,0,0,10,85
HG01864,73,0,3,9,12,85
HG01868,63,0,22,0,22,85
HG01596,72,2,2,9,13,85
HG02072,66,19,0,0,19,85
HG02079,64,20,1,0,21,85
HG01600,74,1,1,9,11,85
HG02140,66,0,0,19,19,85
HG01841,58,7,18,2,27,85
HG02020,63,0,3,19,22,85
HG01878,66,0,19,0,19,85
HG02085,64,21,0,0,21,85
HG01598,57,19,7,2,28,85
HG01872,54,21,8,2,31,85
HG02073,72,2,8,3,13,85
HG01845,64,0,2,19,21,85
HG02032,55,19,9,2,30,85
HG02088,63,0,22,0,22,85
HG01840,75,0,1,9,10,85
HG01855,74,0,2,9,11,85
HG02050,64,21,0,0,21,85
HG01844,60,2,22,1,25,85
HG02067,62,4,2,17,23,85
HG02133,55,21,7,2,30,85
HG02127,58,17,8,2,27,85
HG02512,66,0,19,0,19,85
HG02040,64,21,0,0,21,85
HG01859,56,10,17,2,29,85
HG02078,64,0,21,0,21,85
HG02070,76,0,0,9,9,85
HG02029,75,0,1,9,10,85
HG02116,56,18,9,2,29,85
HG01842,73,0,12,0,12,85
HG01867,75,0,1,9,10,85
HG02060,75,1,0,9,10,85
HG01843,76,0,0,9,9,85
HG02028,74,0,11,0,11,85
HG01861,53,10,21,1,32,85
HG01869,73,0,0,12,12,85
HG01865,75,0,0,10,10,85
HG01848,56,7,20,2,29,85
HG02048,54,19,10,2,31,85
HG02130,66,19,0,0,19,85
HG01595,61,2,3,19,24,85
HG01860,62,1,22,0,23,85
HG01853,56,17,10,2,29,85
HG02139,57,17,9,2,28,85
HG02121,76,0,9,0,9,85
HG01858,73,1,2,9,12,85
HG02058,75,10,0,0,10,85
HG02076,72,1,12,0,13,85
HG02131,66,0,0,19,19,85
HG02522,63,22,0,0,22,85
HG02019,76,0,0,9,9,85
HG01851,76,0,9,0,9,85
HG02016,75,1,9,0,10,85
HG01874,63,21,1,0,22,85
HG02057,56,9,18,2,29,85
HG02521,76,0,0,9,9,85
HG02035,74,0,0,11,11,85
HG02025,63,1,2,19,22,85
HG02128,61,24,0,0,24,85
HG01862,76,0,0,9,9,85
HG02134,64,0,0,21,21,85
HG02082,57,19,7,2,28,85
HG02122,57,8,18,2,28,85
HG01870,58,7,18,2,27,85
HG02136,65,20,0,0,20,85
HG01852,56,10,17,2,29,85
HG02137,64,21,0,0,21,85
HG01850,57,7,19,2,28,85
HG01857,57,17,9,2,28,85
HG02061,74,2,0,9,11,85
HG02142,53,10,20,2,32,85
HG01863,73,0,3,9,12,85
HG02026,57,17,9,2,28,85
HG01871,84,0,1,0,1,85
HG02141,85,0,0,0,0,85
HG01873,76,9,0,0,9,85
HG02049,76,9,0,0,9,85
HG02086,74,2,0,9,11,85
HG02113,64,21,0,0,21,85
HG01847,62,3,1,19,23,85
