vn_genome_ids,c00,c10,c01,c11,c1s,c_sum
HG02513,313,4,32,9,45,358
HG02138,349,2,1,6,9,358
HG02075,343,2,3,10,15,358
HG02031,343,3,5,7,15,358
HG02084,346,1,1,10,12,358
HG02047,341,4,9,4,17,358
HG01597,281,5,66,6,77,358
HG01849,344,0,4,10,14,358
HG02023,247,44,44,23,111,358
HG01846,284,65,5,4,74,358
HG02081,241,6,105,6,117,358
HG01599,343,3,1,11,15,358
HG01866,340,4,10,4,18,358
HG02064,241,106,5,6,117,358
HG02069,292,60,2,4,66,358
HG02087,288,6,58,6,70,358
HG02017,342,2,4,10,16,358
HG01864,342,8,4,4,16,358
HG01868,287,3,4,64,71,358
HG01596,344,0,1,13,14,358
HG02072,287,64,3,4,71,358
HG02079,338,11,5,4,20,358
HG01600,288,58,5,7,70,358
HG02140,343,7,4,4,15,358
HG01841,239,7,108,4,119,358
HG02020,290,59,5,4,68,358
HG01878,341,4,9,4,17,358
HG02085,285,66,3,4,73,358
HG01598,288,1,1,68,70,358
HG01872,236,7,109,6,122,358
HG02073,344,3,7,4,14,358
HG01845,286,65,3,4,72,358
HG02032,339,5,10,4,19,358
HG02088,350,0,2,6,8,358
HG01840,245,102,5,6,113,358
HG01855,289,6,56,7,69,358
HG02050,349,3,0,6,9,358
HG01844,344,8,2,4,14,358
HG02067,220,69,28,41,138,358
HG02133,283,62,7,6,75,358
HG02127,248,46,41,23,110,358
HG02512,286,11,55,6,72,358
HG02040,285,39,3,31,73,358
HG01859,239,105,8,6,119,358
HG02078,287,1,4,66,71,358
HG02070,351,0,0,7,7,358
HG02029,287,7,58,6,71,358
HG02116,291,3,60,4,67,358
HG01842,343,3,3,9,15,358
HG01867,240,110,4,4,118,358
HG02060,241,3,110,4,117,358
HG01843,217,70,30,41,141,358
HG02028,350,2,0,6,8,358
HG01861,245,4,105,4,113,358
HG01869,349,2,1,6,9,358
HG01865,244,109,0,5,114,358
HG01848,283,5,66,4,75,358
HG02048,343,2,2,11,15,358
HG02130,343,8,3,4,15,358
HG01595,342,3,2,11,16,358
HG01860,343,2,3,10,15,358
HG01853,344,7,3,4,14,358
HG02139,341,9,4,4,17,358
HG02121,205,40,90,23,153,358
HG01858,284,63,5,6,74,358
HG02058,281,63,8,6,77,358
HG02076,283,64,5,6,75,358
HG02131,343,3,2,10,15,358
HG02522,282,64,6,6,76,358
HG02019,344,1,3,10,14,358
HG01851,343,3,4,8,15,358
HG02016,287,56,7,8,71,358
HG01874,343,4,7,4,15,358
HG02057,284,65,5,4,74,358
HG02521,341,4,9,4,17,358
HG02035,344,2,8,4,14,358
HG02025,348,1,3,6,10,358
HG02128,285,66,3,4,73,358
HG01862,241,6,105,6,117,358
HG02134,339,11,4,4,19,358
HG02082,286,3,65,4,72,358
HG02122,343,4,7,4,15,358
HG01870,337,5,6,10,21,358
HG02136,344,3,7,4,14,358
HG01852,283,8,61,6,75,358
HG02137,284,3,67,4,74,358
HG01850,341,11,2,4,17,358
HG01857,343,4,2,9,15,358
HG02061,288,9,0,61,70,358
HG02142,242,3,109,4,116,358
HG01863,281,7,64,6,77,358
HG02026,338,11,5,4,20,358
HG01871,342,2,6,8,16,358
HG02141,344,3,1,10,14,358
HG01873,343,3,8,4,15,358
HG02049,337,13,4,4,21,358
HG02086,342,4,8,4,16,358
HG02113,200,89,45,24,158,358
HG01847,280,11,61,6,78,358
