vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,210,59,62,54,175,385
HG02138,204,65,62,54,181,385
HG02075,264,3,3,115,121,385
HG02031,190,86,80,29,195,385
HG02084,204,63,64,54,181,385
HG02047,210,60,61,54,175,385
HG01597,208,68,52,57,177,385
HG01849,200,67,65,53,185,385
HG02023,269,2,2,112,116,385
HG01846,296,0,2,87,89,385
HG02081,210,62,59,54,175,385
HG01599,266,0,4,115,119,385
HG01866,239,57,29,60,146,385
HG02064,211,61,59,54,174,385
HG02069,268,2,4,111,117,385
HG02087,263,2,9,111,122,385
HG02017,207,60,64,54,178,385
HG01864,240,30,56,59,145,385
HG01868,242,56,29,58,143,385
HG01596,207,63,61,54,178,385
HG02072,242,29,56,58,143,385
HG02079,267,2,3,113,118,385
HG01600,241,56,28,60,144,385
HG02140,267,2,4,112,118,385
HG01841,266,2,4,113,119,385
HG02020,238,58,29,60,147,385
HG01878,238,58,29,60,147,385
HG02085,296,1,1,87,89,385
HG01598,212,60,59,54,173,385
HG01872,206,61,64,54,179,385
HG02073,266,4,4,111,119,385
HG01845,268,1,5,111,117,385
HG02032,209,61,61,54,176,385
HG02088,243,31,50,61,142,385
HG01840,237,27,61,60,148,385
HG01855,234,34,18,99,151,385
HG02050,241,30,54,60,144,385
HG01844,270,0,3,112,115,385
HG02067,237,30,60,58,148,385
HG02133,206,61,64,54,179,385
HG02127,211,63,58,53,174,385
HG02512,216,60,80,29,169,385
HG02040,254,7,18,106,131,385
HG01859,237,29,59,60,148,385
HG02078,269,4,2,110,116,385
HG02070,264,5,4,112,121,385
HG02029,215,58,82,30,170,385
HG02116,216,81,59,29,169,385
HG01842,266,3,4,112,119,385
HG01867,206,62,63,54,179,385
HG02060,224,89,46,26,161,385
HG01843,268,2,2,113,117,385
HG02028,212,59,59,55,173,385
HG01861,242,27,56,60,143,385
HG01869,242,31,54,58,143,385
HG01865,238,30,58,59,147,385
HG01848,241,30,54,60,144,385
HG02048,262,2,10,111,123,385
HG02130,239,33,56,57,146,385
HG01595,241,30,55,59,144,385
HG01860,264,3,6,112,121,385
HG01853,261,7,5,112,124,385
HG02139,295,2,1,87,90,385
HG02121,240,30,56,59,145,385
HG01858,237,32,58,58,148,385
HG02058,212,60,58,55,173,385
HG02076,237,59,29,60,148,385
HG02131,240,28,57,60,145,385
HG02522,269,3,2,111,116,385
HG02019,295,1,2,87,90,385
HG01851,264,6,3,112,121,385
HG02016,239,30,57,59,146,385
HG01874,243,30,55,57,142,385
HG02057,208,60,64,53,177,385
HG02521,192,84,80,29,193,385
HG02035,238,32,57,58,147,385
HG02025,269,2,3,111,116,385
HG02128,267,3,3,112,118,385
HG01862,187,81,88,29,198,385
HG02134,237,32,56,60,148,385
HG02082,240,58,29,58,145,385
HG02122,208,59,64,54,177,385
HG01870,211,61,60,53,174,385
HG02136,214,83,33,55,171,385
HG01852,268,4,1,112,117,385
HG02137,241,56,28,60,144,385
HG01850,294,1,3,87,91,385
HG01857,207,64,60,54,178,385
HG02061,237,30,58,60,148,385
HG02142,236,34,12,103,149,385
HG01863,239,31,53,62,146,385
HG02026,242,31,53,59,143,385
HG01871,242,27,56,60,143,385
HG02141,212,58,62,53,173,385
HG01873,210,60,61,54,175,385
HG02049,293,2,4,86,92,385
HG02086,267,3,2,113,118,385
HG02113,268,1,4,112,117,385
HG01847,265,4,5,111,120,385
