vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,35,0,5,0,5,40
HG02138,35,0,5,0,5,40
HG02075,36,0,4,0,4,40
HG02031,35,5,0,0,5,40
HG02084,35,0,5,0,5,40
HG02047,37,2,1,0,3,40
HG01597,40,0,0,0,0,40
HG01849,38,1,1,0,2,40
HG02023,40,0,0,0,0,40
HG01846,39,0,1,0,1,40
HG02081,39,0,1,0,1,40
HG01599,39,1,0,0,1,40
HG01866,32,8,0,0,8,40
HG02064,39,0,1,0,1,40
HG02069,40,0,0,0,0,40
HG02087,35,0,5,0,5,40
HG02017,40,0,0,0,0,40
HG01864,40,0,0,0,0,40
HG01868,35,0,5,0,5,40
HG01596,36,0,4,0,4,40
HG02072,35,5,0,0,5,40
HG02079,38,2,0,0,2,40
HG01600,40,0,0,0,0,40
HG02140,40,0,0,0,0,40
HG01841,38,0,2,0,2,40
HG02020,36,0,4,0,4,40
HG01878,38,2,0,0,2,40
HG02085,39,1,0,0,1,40
HG01598,39,0,1,0,1,40
HG01872,38,1,1,0,2,40
HG02073,39,1,0,0,1,40
HG01845,39,1,0,0,1,40
HG02032,40,0,0,0,0,40
HG02088,34,5,1,0,6,40
HG01840,40,0,0,0,0,40
HG01855,39,1,0,0,1,40
HG02050,40,0,0,0,0,40
HG01844,39,1,0,0,1,40
HG02067,39,1,0,0,1,40
HG02133,40,0,0,0,0,40
HG02127,38,2,0,0,2,40
HG02512,39,1,0,0,1,40
HG02040,40,0,0,0,0,40
HG01859,40,0,0,0,0,40
HG02078,40,0,0,0,0,40
HG02070,40,0,0,0,0,40
HG02029,35,5,0,0,5,40
HG02116,39,1,0,0,1,40
HG01842,39,1,0,0,1,40
HG01867,37,3,0,0,3,40
HG02060,39,0,1,0,1,40
HG01843,40,0,0,0,0,40
HG02028,39,1,0,0,1,40
HG01861,39,0,1,0,1,40
HG01869,34,6,0,0,6,40
HG01865,32,7,1,0,8,40
HG01848,38,0,2,0,2,40
HG02048,40,0,0,0,0,40
HG02130,40,0,0,0,0,40
HG01595,40,0,0,0,0,40
HG01860,34,1,1,4,6,40
HG01853,39,1,0,0,1,40
HG02139,37,2,1,0,3,40
HG02121,40,0,0,0,0,40
HG01858,36,0,4,0,4,40
HG02058,39,1,0,0,1,40
HG02076,38,2,0,0,2,40
HG02131,40,0,0,0,0,40
HG02522,39,1,0,0,1,40
HG02019,40,0,0,0,0,40
HG01851,34,6,0,0,6,40
HG02016,40,0,0,0,0,40
HG01874,39,0,0,1,1,40
HG02057,40,0,0,0,0,40
HG02521,35,5,0,0,5,40
HG02035,36,0,4,0,4,40
HG02025,34,5,1,0,6,40
HG02128,39,0,1,0,1,40
HG01862,40,0,0,0,0,40
HG02134,38,1,1,0,2,40
HG02082,34,6,0,0,6,40
HG02122,39,0,1,0,1,40
HG01870,38,0,2,0,2,40
HG02136,34,6,0,0,6,40
HG01852,40,0,0,0,0,40
HG02137,39,1,0,0,1,40
HG01850,39,0,1,0,1,40
HG01857,39,0,1,0,1,40
HG02061,40,0,0,0,0,40
HG02142,38,1,1,0,2,40
HG01863,39,0,1,0,1,40
HG02026,40,0,0,0,0,40
HG01871,38,0,2,0,2,40
HG02141,24,12,3,1,16,40
HG01873,40,0,0,0,0,40
HG02049,35,4,0,1,5,40
HG02086,39,0,1,0,1,40
HG02113,39,0,1,0,1,40
HG01847,37,2,1,0,3,40
