vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,219,1,3,0,4,223
HG02138,214,1,8,0,9,223
HG02075,216,1,6,0,7,223
HG02031,220,1,2,0,3,223
HG02084,220,1,2,0,3,223
HG02047,222,1,0,0,1,223
HG01597,218,2,3,0,5,223
HG01849,218,4,1,0,5,223
HG02023,222,0,1,0,1,223
HG01846,219,2,2,0,4,223
HG02081,210,11,2,0,13,223
HG01599,214,1,8,0,9,223
HG01866,218,1,4,0,5,223
HG02064,215,1,7,0,8,223
HG02069,217,3,3,0,6,223
HG02087,216,4,3,0,7,223
HG02017,219,4,0,0,4,223
HG01864,221,2,0,0,2,223
HG01868,216,7,0,0,7,223
HG01596,222,0,1,0,1,223
HG02072,218,4,1,0,5,223
HG02079,221,1,1,0,2,223
HG01600,214,4,5,0,9,223
HG02140,222,0,1,0,1,223
HG01841,216,3,4,0,7,223
HG02020,219,3,1,0,4,223
HG01878,219,3,1,0,4,223
HG02085,221,1,1,0,2,223
HG01598,220,1,2,0,3,223
HG01872,221,2,0,0,2,223
HG02073,219,2,2,0,4,223
HG01845,205,3,15,0,18,223
HG02032,218,3,2,0,5,223
HG02088,218,3,2,0,5,223
HG01840,218,3,2,0,5,223
HG01855,220,1,2,0,3,223
HG02050,217,0,6,0,6,223
HG01844,223,0,0,0,0,223
HG02067,215,1,7,0,8,223
HG02133,223,0,0,0,0,223
HG02127,221,2,0,0,2,223
HG02512,220,1,2,0,3,223
HG02040,217,4,2,0,6,223
HG01859,220,1,2,0,3,223
HG02078,219,1,3,0,4,223
HG02070,211,2,10,0,12,223
HG02029,218,3,2,0,5,223
HG02116,221,0,2,0,2,223
HG01842,220,2,1,0,3,223
HG01867,221,2,0,0,2,223
HG02060,219,2,2,0,4,223
HG01843,219,2,2,0,4,223
HG02028,220,0,3,0,3,223
HG01861,219,1,3,0,4,223
HG01869,223,0,0,0,0,223
HG01865,211,3,9,0,12,223
HG01848,220,1,2,0,3,223
HG02048,212,6,5,0,11,223
HG02130,220,2,0,1,3,223
HG01595,219,1,3,0,4,223
HG01860,203,15,5,0,20,223
HG01853,220,1,2,0,3,223
HG02139,219,0,4,0,4,223
HG02121,215,1,7,0,8,223
HG01858,221,1,1,0,2,223
HG02058,210,5,8,0,13,223
HG02076,219,2,2,0,4,223
HG02131,220,1,2,0,3,223
HG02522,215,5,3,0,8,223
HG02019,222,0,1,0,1,223
HG01851,216,3,4,0,7,223
HG02016,217,3,3,0,6,223
HG01874,215,5,3,0,8,223
HG02057,217,3,3,0,6,223
HG02521,211,3,9,0,12,223
HG02035,214,6,3,0,9,223
HG02025,205,14,4,0,18,223
HG02128,218,1,4,0,5,223
HG01862,207,8,8,0,16,223
HG02134,216,3,4,0,7,223
HG02082,221,1,1,0,2,223
HG02122,216,0,6,1,7,223
HG01870,220,2,1,0,3,223
HG02136,216,5,2,0,7,223
HG01852,215,4,4,0,8,223
HG02137,203,2,12,6,20,223
HG01850,204,13,6,0,19,223
HG01857,215,7,1,0,8,223
HG02061,220,1,2,0,3,223
HG02142,220,1,2,0,3,223
HG01863,220,2,1,0,3,223
HG02026,218,3,2,0,5,223
HG01871,206,3,8,6,17,223
HG02141,215,6,2,0,8,223
HG01873,221,2,0,0,2,223
HG02049,212,5,6,0,11,223
HG02086,222,1,0,0,1,223
HG02113,211,8,4,0,12,223
HG01847,219,1,3,0,4,223
