vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,90,20,4,0,24,114
HG02138,107,5,2,0,7,114
HG02075,84,17,11,2,30,114
HG02031,96,0,18,0,18,114
HG02084,96,18,0,0,18,114
HG02047,109,0,5,0,5,114
HG01597,94,1,2,17,20,114
HG01849,87,8,3,16,27,114
HG02023,76,18,14,6,38,114
HG01846,90,7,17,0,24,114
HG02081,90,24,0,0,24,114
HG01599,98,1,15,0,16,114
HG01866,109,0,5,0,5,114
HG02064,93,3,18,0,21,114
HG02069,91,17,6,0,23,114
HG02087,91,5,18,0,23,114
HG02017,92,17,5,0,22,114
HG01864,95,1,18,0,19,114
HG01868,96,1,17,0,18,114
HG01596,80,17,17,0,34,114
HG02072,108,6,0,0,6,114
HG02079,97,0,17,0,17,114
HG01600,93,0,3,18,21,114
HG02140,108,0,6,0,6,114
HG01841,93,3,1,17,21,114
HG02020,91,17,6,0,23,114
HG01878,77,20,17,0,37,114
HG02085,101,13,0,0,13,114
HG01598,96,18,0,0,18,114
HG01872,78,18,18,0,36,114
HG02073,95,19,0,0,19,114
HG01845,114,0,0,0,0,114
HG02032,80,17,17,0,34,114
HG02088,83,17,14,0,31,114
HG01840,109,0,5,0,5,114
HG01855,79,18,17,0,35,114
HG02050,101,0,13,0,13,114
HG01844,99,2,0,13,15,114
HG02067,80,19,15,0,34,114
HG02133,82,13,19,0,32,114
HG02127,94,0,20,0,20,114
HG02512,98,0,16,0,16,114
HG02040,108,5,1,0,6,114
HG01859,96,17,1,0,18,114
HG02078,98,1,15,0,16,114
HG02070,101,0,0,13,13,114
HG02029,89,12,9,4,25,114
HG02116,91,5,18,0,23,114
HG01842,80,17,16,1,34,114
HG01867,89,12,12,1,25,114
HG02060,79,17,17,1,35,114
HG01843,96,1,17,0,18,114
HG02028,80,15,19,0,34,114
HG01861,81,16,17,0,33,114
HG01869,80,17,16,1,34,114
HG01865,95,19,0,0,19,114
HG01848,92,17,5,0,22,114
HG02048,108,5,1,0,6,114
HG02130,100,0,14,0,14,114
HG01595,102,0,12,0,12,114
HG01860,95,0,19,0,19,114
HG01853,89,17,8,0,25,114
HG02139,79,18,17,0,35,114
HG02121,94,20,0,0,20,114
HG01858,96,0,18,0,18,114
HG02058,96,0,18,0,18,114
HG02076,114,0,0,0,0,114
HG02131,97,17,0,0,17,114
HG02522,95,0,19,0,19,114
HG02019,89,1,8,16,25,114
HG01851,86,11,13,4,28,114
HG02016,95,4,1,14,19,114
HG01874,96,3,1,14,18,114
HG02057,94,1,19,0,20,114
HG02521,94,6,14,0,20,114
HG02035,94,6,14,0,20,114
HG02025,99,2,13,0,15,114
HG02128,108,5,1,0,6,114
HG01862,95,19,0,0,19,114
HG02134,82,14,18,0,32,114
HG02082,94,19,1,0,20,114
HG02122,98,0,16,0,16,114
HG01870,108,6,0,0,6,114
HG02136,105,5,4,0,9,114
HG01852,108,0,1,5,6,114
HG02137,99,15,0,0,15,114
HG01850,96,18,0,0,18,114
HG01857,79,16,19,0,35,114
HG02061,112,1,1,0,2,114
HG02142,95,18,1,0,19,114
HG01863,96,18,0,0,18,114
HG02026,94,3,3,14,20,114
HG01871,101,13,0,0,13,114
HG02141,97,0,0,17,17,114
HG01873,97,0,0,17,17,114
HG02049,98,16,0,0,16,114
HG02086,101,13,0,0,13,114
HG02113,99,1,14,0,15,114
HG01847,113,0,1,0,1,114
