vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,109,88,1,0,89,198
HG02138,195,1,2,0,3,198
HG02075,197,0,1,0,1,198
HG02031,196,2,0,0,2,198
HG02084,107,1,90,0,91,198
HG02047,196,0,2,0,2,198
HG01597,113,84,1,0,85,198
HG01849,113,84,1,0,85,198
HG02023,111,0,87,0,87,198
HG01846,195,1,2,0,3,198
HG02081,187,9,1,1,11,198
HG01599,106,91,1,0,92,198
HG01866,99,83,16,0,99,198
HG02064,111,87,0,0,87,198
HG02069,95,85,18,0,103,198
HG02087,108,89,1,0,90,198
HG02017,109,1,88,0,89,198
HG01864,95,17,86,0,103,198
HG01868,178,17,3,0,20,198
HG01596,196,2,0,0,2,198
HG02072,107,91,0,0,91,198
HG02079,109,2,87,0,89,198
HG01600,197,0,1,0,1,198
HG02140,196,0,2,0,2,198
HG01841,180,1,17,0,18,198
HG02020,194,3,1,0,4,198
HG01878,126,0,72,0,72,198
HG02085,197,1,0,0,1,198
HG01598,95,86,16,1,103,198
HG01872,113,84,1,0,85,198
HG02073,181,2,15,0,17,198
HG01845,196,0,2,0,2,198
HG02032,197,0,0,1,1,198
HG02088,197,0,1,0,1,198
HG01840,194,2,2,0,4,198
HG01855,196,2,0,0,2,198
HG02050,110,86,1,1,88,198
HG01844,108,7,0,83,90,198
HG02067,186,11,1,0,12,198
HG02133,193,2,3,0,5,198
HG02127,112,86,0,0,86,198
HG02512,197,0,0,1,1,198
HG02040,198,0,0,0,0,198
HG01859,112,0,86,0,86,198
HG02078,194,3,1,0,4,198
HG02070,194,2,2,0,4,198
HG02029,195,1,2,0,3,198
HG02116,110,1,87,0,88,198
HG01842,197,1,0,0,1,198
HG01867,179,2,17,0,19,198
HG02060,113,1,81,3,85,198
HG01843,187,10,1,0,11,198
HG02028,196,2,0,0,2,198
HG01861,187,1,10,0,11,198
HG01869,194,2,2,0,4,198
HG01865,110,1,87,0,88,198
HG01848,195,1,2,0,3,198
HG02048,109,0,89,0,89,198
HG02130,198,0,0,0,0,198
HG01595,193,2,3,0,5,198
HG01860,197,1,0,0,1,198
HG01853,197,0,1,0,1,198
HG02139,197,0,1,0,1,198
HG02121,113,0,85,0,85,198
HG01858,195,0,0,3,3,198
HG02058,184,4,9,1,14,198
HG02076,106,91,1,0,92,198
HG02131,196,0,2,0,2,198
HG02522,195,1,2,0,3,198
HG02019,179,17,2,0,19,198
HG01851,197,1,0,0,1,198
HG02016,196,2,0,0,2,198
HG01874,197,1,0,0,1,198
HG02057,107,1,15,75,91,198
HG02521,107,90,1,0,91,198
HG02035,111,2,0,85,87,198
HG02025,197,1,0,0,1,198
HG02128,110,0,88,0,88,198
HG01862,198,0,0,0,0,198
HG02134,110,1,87,0,88,198
HG02082,194,2,2,0,4,198
HG02122,197,1,0,0,1,198
HG01870,104,92,2,0,94,198
HG02136,104,91,2,1,94,198
HG01852,112,1,85,0,86,198
HG02137,195,2,1,0,3,198
HG01850,194,2,2,0,4,198
HG01857,196,1,1,0,2,198
HG02061,108,1,89,0,90,198
HG02142,104,91,3,0,94,198
HG01863,197,0,1,0,1,198
HG02026,110,0,88,0,88,198
HG01871,110,1,87,0,88,198
HG02141,194,0,4,0,4,198
HG01873,109,88,1,0,89,198
HG02049,193,1,4,0,5,198
HG02086,195,0,3,0,3,198
HG02113,109,89,0,0,89,198
HG01847,196,1,1,0,2,198
