vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,55,19,9,2,30,85
HG02138,57,7,19,2,28,85
HG02075,74,0,11,0,11,85
HG02031,76,0,0,9,9,85
HG02084,72,2,11,0,13,85
HG02047,74,2,0,9,11,85
HG01597,85,0,0,0,0,85
HG01849,54,20,9,2,31,85
HG02023,58,17,8,2,27,85
HG01846,75,1,0,9,10,85
HG02081,55,8,20,2,30,85
HG01599,62,0,23,0,23,85
HG01866,76,0,0,9,9,85
HG02064,72,0,4,9,13,85
HG02069,79,1,5,0,6,85
HG02087,58,18,7,2,27,85
HG02017,75,0,10,0,10,85
HG01864,73,3,0,9,12,85
HG01868,63,22,0,0,22,85
HG01596,72,2,2,9,13,85
HG02072,66,0,19,0,19,85
HG02079,64,1,20,0,21,85
HG01600,74,1,1,9,11,85
HG02140,66,0,0,19,19,85
HG01841,58,18,7,2,27,85
HG02020,63,3,0,19,22,85
HG01878,66,19,0,0,19,85
HG02085,64,0,21,0,21,85
HG01598,57,7,19,2,28,85
HG01872,54,8,21,2,31,85
HG02073,72,8,2,3,13,85
HG01845,64,2,0,19,21,85
HG02032,55,9,19,2,30,85
HG02088,63,22,0,0,22,85
HG01840,75,1,0,9,10,85
HG01855,74,2,0,9,11,85
HG02050,64,0,21,0,21,85
HG01844,60,22,2,1,25,85
HG02067,62,2,4,17,23,85
HG02133,55,7,21,2,30,85
HG02127,58,8,17,2,27,85
HG02512,66,19,0,0,19,85
HG02040,64,0,21,0,21,85
HG01859,56,17,10,2,29,85
HG02078,64,21,0,0,21,85
HG02070,76,0,0,9,9,85
HG02029,75,1,0,9,10,85
HG02116,56,9,18,2,29,85
HG01842,73,12,0,0,12,85
HG01867,75,1,0,9,10,85
HG02060,75,0,1,9,10,85
HG01843,76,0,0,9,9,85
HG02028,74,11,0,0,11,85
HG01861,53,21,10,1,32,85
HG01869,73,0,0,12,12,85
HG01865,75,0,0,10,10,85
HG01848,56,20,7,2,29,85
HG02048,54,10,19,2,31,85
HG02130,66,0,19,0,19,85
HG01595,61,3,2,19,24,85
HG01860,62,22,1,0,23,85
HG01853,56,10,17,2,29,85
HG02139,57,9,17,2,28,85
HG02121,76,9,0,0,9,85
HG01858,73,2,1,9,12,85
HG02058,75,0,10,0,10,85
HG02076,72,12,1,0,13,85
HG02131,66,0,0,19,19,85
HG02522,63,0,22,0,22,85
HG02019,76,0,0,9,9,85
HG01851,76,9,0,0,9,85
HG02016,75,9,1,0,10,85
HG01874,63,1,21,0,22,85
HG02057,56,18,9,2,29,85
HG02521,76,0,0,9,9,85
HG02035,74,0,0,11,11,85
HG02025,63,2,1,19,22,85
HG02128,61,0,24,0,24,85
HG01862,76,0,0,9,9,85
HG02134,64,0,0,21,21,85
HG02082,57,7,19,2,28,85
HG02122,57,18,8,2,28,85
HG01870,58,18,7,2,27,85
HG02136,65,0,20,0,20,85
HG01852,56,17,10,2,29,85
HG02137,64,0,21,0,21,85
HG01850,57,19,7,2,28,85
HG01857,57,9,17,2,28,85
HG02061,74,0,2,9,11,85
HG02142,53,20,10,2,32,85
HG01863,73,3,0,9,12,85
HG02026,57,9,17,2,28,85
HG01871,84,1,0,0,1,85
HG02141,85,0,0,0,0,85
HG01873,76,0,9,0,9,85
HG02049,76,0,9,0,9,85
HG02086,74,0,2,9,11,85
HG02113,64,0,21,0,21,85
HG01847,62,1,3,19,23,85
