vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,343,5,5,137,147,490
HG02138,348,108,21,13,142,490
HG02075,299,42,49,100,191,490
HG02031,331,14,123,22,159,490
HG02084,451,2,6,31,39,490
HG02047,299,40,49,102,191,490
HG01597,345,1,6,138,145,490
HG01849,311,42,36,101,179,490
HG02023,289,49,99,53,201,490
HG01846,334,5,4,147,156,490
HG02081,325,132,12,21,165,490
HG01599,315,25,38,112,175,490
HG01866,342,5,5,138,148,490
HG02064,311,35,44,100,179,490
HG02069,297,54,47,92,193,490
HG02087,293,43,52,102,197,490
HG02017,332,90,8,60,158,490
HG01864,297,42,47,104,193,490
HG01868,331,18,31,110,159,490
HG01596,313,27,38,112,177,490
HG02072,330,9,15,136,160,490
HG02079,313,28,37,112,177,490
HG01600,295,41,53,101,195,490
HG02140,312,39,26,113,178,490
HG01841,299,52,39,100,191,490
HG02020,332,124,14,20,158,490
HG01878,336,2,6,146,154,490
HG02085,288,50,99,53,202,490
HG01598,315,38,25,112,175,490
HG01872,299,50,40,101,191,490
HG02073,296,44,47,103,194,490
HG01845,348,2,1,139,142,490
HG02032,299,50,50,91,191,490
HG02088,346,1,3,140,144,490
HG01840,335,4,3,148,155,490
HG01855,307,42,40,101,183,490
HG02050,301,51,47,91,189,490
HG01844,335,4,4,147,155,490
HG02067,314,26,38,112,176,490
HG02133,334,121,13,22,156,490
HG02127,298,45,46,101,192,490
HG02512,334,13,123,20,156,490
HG02040,313,27,37,113,177,490
HG01859,331,15,124,20,159,490
HG02078,295,51,94,50,195,490
HG02070,323,131,15,21,167,490
HG02029,301,51,38,100,189,490
HG02116,300,40,49,101,190,490
HG01842,314,26,38,112,176,490
HG01867,294,43,52,101,196,490
HG02060,342,4,4,140,148,490
HG01843,307,33,47,103,183,490
HG02028,298,41,49,102,192,490
HG01861,336,3,2,149,154,490
HG01869,300,49,51,90,190,490
HG01865,302,38,50,100,188,490
HG01848,310,27,39,114,180,490
HG02048,343,4,5,138,147,490
HG02130,300,49,49,92,190,490
HG01595,301,49,39,101,189,490
HG01860,298,49,51,92,192,490
HG01853,314,26,37,113,176,490
HG02139,325,13,129,23,165,490
HG02121,338,2,1,149,152,490
HG01858,336,2,4,148,154,490
HG02058,333,121,14,22,157,490
HG02076,309,28,41,112,181,490
HG02131,315,25,37,113,175,490
HG02522,337,1,3,149,153,490
HG02019,306,40,73,71,184,490
HG01851,300,46,53,91,190,490
HG02016,330,21,117,22,160,490
HG01874,335,123,12,20,155,490
HG02057,300,48,51,91,190,490
HG02521,301,39,50,100,189,490
HG02035,294,51,95,50,196,490
HG02025,298,52,50,90,192,490
HG02128,441,2,15,32,49,490
HG01862,300,49,51,90,190,490
HG02134,295,51,42,102,195,490
HG02082,347,1,4,138,143,490
HG02122,339,2,1,148,151,490
HG01870,345,4,3,138,145,490
HG02136,310,37,28,115,180,490
HG01852,299,51,41,99,191,490
HG02137,312,39,29,110,178,490
HG01850,336,120,13,21,154,490
HG01857,311,39,29,111,179,490
HG02061,345,2,4,139,145,490
HG02142,336,3,3,148,154,490
HG01863,336,117,15,22,154,490
HG02026,349,3,6,132,141,490
HG01871,366,18,88,18,124,490
HG02141,329,128,12,21,161,490
HG01873,331,14,124,21,159,490
HG02049,343,3,5,139,147,490
HG02086,313,43,25,109,177,490
HG02113,337,2,4,147,153,490
HG01847,301,47,40,102,189,490
