vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,95,1,3,22,26,121
HG02138,87,11,10,13,34,121
HG02075,85,12,10,14,36,121
HG02031,97,1,1,22,24,121
HG02084,93,4,2,22,28,121
HG02047,86,13,9,13,35,121
HG01597,92,6,4,19,29,121
HG01849,90,4,7,20,31,121
HG02023,91,3,7,20,30,121
HG01846,89,10,9,13,32,121
HG02081,89,5,7,20,32,121
HG01599,95,9,3,14,26,121
HG01866,91,7,4,19,30,121
HG02064,87,12,9,13,34,121
HG02069,87,12,9,13,34,121
HG02087,91,4,6,20,30,121
HG02017,89,6,6,20,32,121
HG01864,87,11,10,13,34,121
HG01868,96,1,2,22,25,121
HG01596,90,6,5,20,31,121
HG02072,93,5,1,22,28,121
HG02079,89,10,9,13,32,121
HG01600,87,9,12,13,34,121
HG02140,86,12,10,13,35,121
HG01841,91,7,3,20,30,121
HG02020,90,5,6,20,31,121
HG01878,99,0,0,22,22,121
HG02085,88,9,11,13,33,121
HG01598,87,9,12,13,34,121
HG01872,90,6,5,20,31,121
HG02073,87,8,10,16,34,121
HG01845,88,11,9,13,33,121
HG02032,85,9,14,13,36,121
HG02088,94,2,3,22,27,121
HG01840,96,1,0,24,25,121
HG01855,88,7,9,17,33,121
HG02050,88,11,9,13,33,121
HG01844,89,8,7,17,32,121
HG02067,90,7,5,19,31,121
HG02133,88,15,5,13,33,121
HG02127,90,9,9,13,31,121
HG02512,91,3,7,20,30,121
HG02040,94,5,2,20,27,121
HG01859,94,3,2,22,27,121
HG02078,95,3,1,22,26,121
HG02070,88,11,9,13,33,121
HG02029,97,1,0,23,24,121
HG02116,94,0,5,22,27,121
HG01842,89,9,10,13,32,121
HG01867,93,3,1,24,28,121
HG02060,91,3,2,25,30,121
HG01843,97,1,1,22,24,121
HG02028,86,10,12,13,35,121
HG01861,89,10,9,13,32,121
HG01869,86,10,12,13,35,121
HG01865,88,5,8,20,33,121
HG01848,87,9,12,13,34,121
HG02048,97,0,2,22,24,121
HG02130,96,2,0,23,25,121
HG01595,95,3,1,22,26,121
HG01860,95,1,0,25,26,121
HG01853,89,4,8,20,32,121
HG02139,89,9,10,13,32,121
HG02121,87,9,12,13,34,121
HG01858,95,0,1,25,26,121
HG02058,89,7,6,19,32,121
HG02076,86,9,13,13,35,121
HG02131,80,14,14,13,41,121
HG02522,93,10,4,14,28,121
HG02019,87,12,9,13,34,121
HG01851,91,2,8,20,30,121
HG02016,94,2,3,22,27,121
HG01874,89,9,10,13,32,121
HG02057,90,4,8,19,31,121
HG02521,91,3,7,20,30,121
HG02035,86,9,13,13,35,121
HG02025,94,3,2,22,27,121
HG02128,88,6,7,20,33,121
HG01862,91,3,7,20,30,121
HG02134,86,9,13,13,35,121
HG02082,87,9,11,14,34,121
HG02122,86,13,9,13,35,121
HG01870,93,5,3,20,28,121
HG02136,89,9,10,13,32,121
HG01852,90,4,7,20,31,121
HG02137,88,11,9,13,33,121
HG01850,88,7,6,20,33,121
HG01857,90,9,9,13,31,121
HG02061,91,3,7,20,30,121
HG02142,87,9,5,20,34,121
HG01863,89,7,5,20,32,121
HG02026,94,0,2,25,27,121
HG01871,98,0,1,22,23,121
HG02141,95,4,0,22,26,121
HG01873,85,10,13,13,36,121
HG02049,86,10,11,14,35,121
HG02086,87,11,10,13,34,121
HG02113,92,3,12,14,29,121
HG01847,90,4,7,20,31,121
