vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,402,9,4,0,13,415
HG02138,369,44,2,0,46,415
HG02075,390,4,1,20,25,415
HG02031,343,23,49,0,72,415
HG02084,411,0,4,0,4,415
HG02047,364,14,37,0,51,415
HG01597,366,5,44,0,49,415
HG01849,351,32,32,0,64,415
HG02023,401,10,4,0,14,415
HG01846,391,4,19,1,24,415
HG02081,380,7,28,0,35,415
HG01599,374,10,31,0,41,415
HG01866,368,36,11,0,47,415
HG02064,355,18,40,2,60,415
HG02069,364,40,10,1,51,415
HG02087,381,2,32,0,34,415
HG02017,346,28,37,4,69,415
HG01864,355,16,36,8,60,415
HG01868,376,20,19,0,39,415
HG01596,396,3,16,0,19,415
HG02072,373,2,26,14,42,415
HG02079,373,42,0,0,42,415
HG01600,411,0,4,0,4,415
HG02140,376,37,2,0,39,415
HG01841,381,1,32,1,34,415
HG02020,362,42,10,1,53,415
HG01878,408,4,2,1,7,415
HG02085,373,41,1,0,42,415
HG01598,401,10,4,0,14,415
HG01872,342,29,40,4,73,415
HG02073,400,5,10,0,15,415
HG01845,403,12,0,0,12,415
HG02032,376,4,35,0,39,415
HG02088,364,42,8,1,51,415
HG01840,389,22,3,1,26,415
HG01855,364,49,2,0,51,415
HG02050,402,10,3,0,13,415
HG01844,386,18,11,0,29,415
HG02067,371,9,35,0,44,415
HG02133,329,42,40,4,86,415
HG02127,394,0,0,21,21,415
HG02512,403,2,1,9,12,415
HG02040,403,2,3,7,12,415
HG01859,361,23,3,28,54,415
HG02078,395,1,18,1,20,415
HG02070,391,18,6,0,24,415
HG02029,362,5,46,2,53,415
HG02116,372,40,3,0,43,415
HG01842,331,48,36,0,84,415
HG01867,327,36,48,4,88,415
HG02060,398,6,11,0,17,415
HG01843,380,4,31,0,35,415
HG02028,368,5,42,0,47,415
HG01861,371,24,8,12,44,415
HG01869,383,32,0,0,32,415
HG01865,371,5,7,32,44,415
HG01848,409,0,6,0,6,415
HG02048,332,43,38,2,83,415
HG02130,355,19,38,3,60,415
HG01595,363,46,6,0,52,415
HG01860,394,17,4,0,21,415
HG01853,336,45,22,12,79,415
HG02139,342,38,30,5,73,415
HG02121,353,21,39,2,62,415
HG01858,376,4,35,0,39,415
HG02058,407,7,0,1,8,415
HG02076,370,42,3,0,45,415
HG02131,357,38,18,2,58,415
HG02522,403,9,3,0,12,415
HG02019,353,43,17,2,62,415
HG01851,346,36,29,4,69,415
HG02016,373,5,37,0,42,415
HG01874,387,3,25,0,28,415
HG02057,384,18,13,0,31,415
HG02521,374,21,16,4,41,415
HG02035,337,35,39,4,78,415
HG02025,388,21,6,0,27,415
HG02128,353,40,20,2,62,415
HG01862,376,39,0,0,39,415
HG02134,367,39,8,1,48,415
HG02082,372,41,2,0,43,415
HG02122,360,46,6,3,55,415
HG01870,358,15,42,0,57,415
HG02136,370,3,1,41,45,415
HG01852,359,31,23,2,56,415
HG02137,411,0,4,0,4,415
HG01850,351,38,23,3,64,415
HG01857,342,50,23,0,73,415
HG02061,407,4,4,0,8,415
HG02142,404,6,4,1,11,415
HG01863,361,5,23,26,54,415
HG02026,371,33,11,0,44,415
HG01871,330,43,38,4,85,415
HG02141,373,3,39,0,42,415
HG01873,378,6,30,1,37,415
HG02049,375,3,36,1,40,415
HG02086,337,35,42,1,78,415
HG02113,393,13,9,0,22,415
HG01847,373,4,7,31,42,415
