vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,38,1,1,4,6,44
HG02138,34,1,5,4,10,44
HG02075,33,1,1,9,11,44
HG02031,40,0,0,4,4,44
HG02084,35,0,5,4,9,44
HG02047,39,1,0,4,5,44
HG01597,34,5,1,4,10,44
HG01849,35,0,5,4,9,44
HG02023,38,0,2,4,6,44
HG01846,40,0,0,4,4,44
HG02081,34,2,0,8,10,44
HG01599,40,0,0,4,4,44
HG01866,32,0,8,4,12,44
HG02064,33,6,1,4,11,44
HG02069,38,2,0,4,6,44
HG02087,34,0,6,4,10,44
HG02017,34,5,1,4,10,44
HG01864,32,2,6,4,12,44
HG01868,33,5,2,4,11,44
HG01596,40,0,0,4,4,44
HG02072,38,0,2,4,6,44
HG02079,34,5,1,4,10,44
HG01600,40,0,0,4,4,44
HG02140,35,5,0,4,9,44
HG01841,40,0,0,4,4,44
HG02020,34,6,0,4,10,44
HG01878,34,0,6,4,10,44
HG02085,38,0,2,4,6,44
HG01598,35,0,5,4,9,44
HG01872,32,8,0,4,12,44
HG02073,38,2,0,4,6,44
HG01845,35,5,0,4,9,44
HG02032,38,1,1,4,6,44
HG02088,40,0,0,4,4,44
HG01840,35,0,5,4,9,44
HG01855,39,1,0,4,5,44
HG02050,34,6,0,4,10,44
HG01844,34,5,1,4,10,44
HG02067,34,1,5,4,10,44
HG02133,38,0,2,4,6,44
HG02127,39,1,0,4,5,44
HG02512,39,0,1,4,5,44
HG02040,34,0,6,4,10,44
HG01859,32,0,8,4,12,44
HG02078,33,1,6,4,11,44
HG02070,39,1,0,4,5,44
HG02029,40,0,0,4,4,44
HG02116,37,2,1,4,7,44
HG01842,34,6,0,4,10,44
HG01867,34,0,1,9,10,44
HG02060,33,6,1,4,11,44
HG01843,39,0,1,4,5,44
HG02028,39,0,1,4,5,44
HG01861,40,0,0,4,4,44
HG01869,38,0,2,4,6,44
HG01865,34,1,0,9,10,44
HG01848,40,0,0,4,4,44
HG02048,39,1,0,4,5,44
HG02130,34,1,5,4,10,44
HG01595,33,7,0,4,11,44
HG01860,34,0,6,4,10,44
HG01853,40,0,0,4,4,44
HG02139,33,6,1,4,11,44
HG02121,40,0,0,4,4,44
HG01858,35,0,0,9,9,44
HG02058,34,0,6,4,10,44
HG02076,40,0,0,4,4,44
HG02131,34,6,0,4,10,44
HG02522,33,2,0,9,11,44
HG02019,33,0,7,4,11,44
HG01851,35,0,5,4,9,44
HG02016,34,1,5,4,10,44
HG01874,33,1,6,4,11,44
HG02057,33,7,0,4,11,44
HG02521,38,0,2,4,6,44
HG02035,35,5,0,4,9,44
HG02025,38,1,1,4,6,44
HG02128,40,0,0,4,4,44
HG01862,33,0,2,9,11,44
HG02134,34,0,6,4,10,44
HG02082,40,0,0,4,4,44
HG02122,39,1,0,4,5,44
HG01870,37,2,1,4,7,44
HG02136,35,0,5,4,9,44
HG01852,38,1,1,4,6,44
HG02137,35,0,5,4,9,44
HG01850,39,1,0,4,5,44
HG01857,39,1,0,4,5,44
HG02061,34,1,5,4,10,44
HG02142,40,0,0,4,4,44
HG01863,38,1,1,4,6,44
HG02026,34,6,0,4,10,44
HG01871,39,1,0,4,5,44
HG02141,34,2,0,8,10,44
HG01873,38,1,1,4,6,44
HG02049,38,1,1,4,6,44
HG02086,38,2,0,4,6,44
HG02113,38,2,0,4,6,44
HG01847,40,0,0,4,4,44
