vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,40,1,1,0,2,42
HG02138,40,0,2,0,2,42
HG02075,39,1,2,0,3,42
HG02031,40,0,2,0,2,42
HG02084,41,1,0,0,1,42
HG02047,40,1,1,0,2,42
HG01597,41,1,0,0,1,42
HG01849,40,1,1,0,2,42
HG02023,39,2,1,0,3,42
HG01846,40,2,0,0,2,42
HG02081,40,1,1,0,2,42
HG01599,40,1,0,1,2,42
HG01866,40,1,0,1,2,42
HG02064,32,2,8,0,10,42
HG02069,39,1,2,0,3,42
HG02087,38,2,2,0,4,42
HG02017,40,1,1,0,2,42
HG01864,41,0,1,0,1,42
HG01868,40,1,1,0,2,42
HG01596,42,0,0,0,0,42
HG02072,40,1,1,0,2,42
HG02079,38,2,2,0,4,42
HG01600,35,1,6,0,7,42
HG02140,40,2,0,0,2,42
HG01841,41,0,1,0,1,42
HG02020,39,1,2,0,3,42
HG01878,34,0,8,0,8,42
HG02085,32,2,8,0,10,42
HG01598,40,1,1,0,2,42
HG01872,40,2,0,0,2,42
HG02073,40,1,1,0,2,42
HG01845,40,1,1,0,2,42
HG02032,38,2,2,0,4,42
HG02088,40,0,2,0,2,42
HG01840,41,1,0,0,1,42
HG01855,39,1,1,1,3,42
HG02050,40,2,0,0,2,42
HG01844,38,3,1,0,4,42
HG02067,33,8,1,0,9,42
HG02133,40,1,1,0,2,42
HG02127,40,2,0,0,2,42
HG02512,39,1,2,0,3,42
HG02040,41,0,1,0,1,42
HG01859,40,1,1,0,2,42
HG02078,39,0,3,0,3,42
HG02070,41,0,1,0,1,42
HG02029,40,1,0,1,2,42
HG02116,39,1,2,0,3,42
HG01842,33,8,1,0,9,42
HG01867,41,0,1,0,1,42
HG02060,42,0,0,0,0,42
HG01843,40,1,1,0,2,42
HG02028,40,1,1,0,2,42
HG01861,34,8,0,0,8,42
HG01869,42,0,0,0,0,42
HG01865,41,0,1,0,1,42
HG01848,33,0,9,0,9,42
HG02048,40,1,1,0,2,42
HG02130,40,1,0,1,2,42
HG01595,40,2,0,0,2,42
HG01860,40,1,0,1,2,42
HG01853,40,2,0,0,2,42
HG02139,39,2,1,0,3,42
HG02121,37,3,2,0,5,42
HG01858,40,1,1,0,2,42
HG02058,39,3,0,0,3,42
HG02076,34,8,0,0,8,42
HG02131,41,0,1,0,1,42
HG02522,33,1,8,0,9,42
HG02019,39,2,1,0,3,42
HG01851,41,0,1,0,1,42
HG02016,32,1,9,0,10,42
HG01874,34,0,8,0,8,42
HG02057,39,0,3,0,3,42
HG02521,40,2,0,0,2,42
HG02035,39,2,1,0,3,42
HG02025,40,1,1,0,2,42
HG02128,39,2,1,0,3,42
HG01862,40,2,0,0,2,42
HG02134,39,0,3,0,3,42
HG02082,39,3,0,0,3,42
HG02122,34,0,8,0,8,42
HG01870,40,0,2,0,2,42
HG02136,38,2,2,0,4,42
HG01852,38,1,3,0,4,42
HG02137,37,0,5,0,5,42
HG01850,41,1,0,0,1,42
HG01857,40,2,0,0,2,42
HG02061,42,0,0,0,0,42
HG02142,40,2,0,0,2,42
HG01863,42,0,0,0,0,42
HG02026,38,1,3,0,4,42
HG01871,39,0,2,1,3,42
HG02141,38,2,2,0,4,42
HG01873,38,2,2,0,4,42
HG02049,39,0,3,0,3,42
HG02086,38,2,2,0,4,42
HG02113,41,1,0,0,1,42
HG01847,41,0,1,0,1,42
