vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,587,75,213,29,317,904
HG02138,790,8,4,102,114,904
HG02075,789,4,9,102,115,904
HG02031,580,216,87,21,324,904
HG02084,589,76,212,27,315,904
HG02047,594,205,77,28,310,904
HG01597,588,78,209,29,316,904
HG01849,661,5,3,235,243,904
HG02023,753,44,41,66,151,904
HG01846,756,39,43,66,148,904
HG02081,587,212,78,27,317,904
HG01599,795,3,5,101,109,904
HG01866,755,41,42,66,149,904
HG02064,797,1,5,101,107,904
HG02069,588,76,212,28,316,904
HG02087,563,43,233,65,341,904
HG02017,791,6,5,102,113,904
HG01864,586,212,78,28,318,904
HG01868,780,13,20,91,124,904
HG01596,790,7,5,102,114,904
HG02072,794,3,7,100,110,904
HG02079,582,78,215,29,322,904
HG01600,792,4,7,101,112,904
HG02140,589,210,76,29,315,904
HG01841,795,6,2,101,109,904
HG02020,791,6,6,101,113,904
HG01878,790,5,7,102,114,904
HG02085,797,3,2,102,107,904
HG01598,585,213,77,29,319,904
HG01872,584,212,79,29,320,904
HG02073,789,8,7,100,115,904
HG01845,795,4,3,102,109,904
HG02032,790,8,5,101,114,904
HG02088,590,208,77,29,314,904
HG01840,751,41,45,67,153,904
HG01855,681,119,32,72,223,904
HG02050,589,78,208,29,315,904
HG01844,586,211,77,30,318,904
HG02067,585,80,212,27,319,904
HG02133,791,7,5,101,113,904
HG02127,793,4,5,102,111,904
HG02512,791,9,3,101,113,904
HG02040,749,41,47,67,155,904
HG01859,591,77,208,28,313,904
HG02078,564,230,41,69,340,904
HG02070,792,6,5,101,112,904
HG02029,592,208,75,29,312,904
HG02116,594,76,207,27,310,904
HG01842,564,40,231,69,340,904
HG01867,588,77,210,29,316,904
HG02060,793,4,5,102,111,904
HG01843,753,41,43,67,151,904
HG02028,781,32,19,72,123,904
HG01861,792,4,7,101,112,904
HG01869,591,75,209,29,313,904
HG01865,588,77,210,29,316,904
HG01848,755,43,39,67,149,904
HG02048,581,216,79,28,323,904
HG02130,756,44,37,67,148,904
HG01595,796,3,4,101,108,904
HG01860,792,5,5,102,112,904
HG01853,595,205,76,28,309,904
HG02139,795,5,3,101,109,904
HG02121,681,116,37,70,223,904
HG01858,590,209,77,28,314,904
HG02058,794,16,7,87,110,904
HG02076,795,1,8,100,109,904
HG02131,588,76,209,31,316,904
HG02522,793,4,6,101,111,904
HG02019,753,41,44,66,151,904
HG01851,590,78,206,30,314,904
HG02016,757,43,37,67,147,904
HG01874,787,8,8,101,117,904
HG02057,790,5,8,101,114,904
HG02521,793,4,5,102,111,904
HG02035,795,4,3,102,109,904
HG02025,586,211,78,29,318,904
HG02128,584,212,78,30,320,904
HG01862,795,3,5,101,109,904
HG02134,566,236,38,64,338,904
HG02082,793,4,5,102,111,904
HG02122,794,6,3,101,110,904
HG01870,588,76,212,28,316,904
HG02136,756,40,42,66,148,904
HG01852,567,234,39,64,337,904
HG02137,661,2,7,234,243,904
HG01850,775,18,19,92,129,904
HG01857,796,5,2,101,108,904
HG02061,792,4,7,101,112,904
HG02142,792,4,6,102,112,904
HG01863,660,2,6,236,244,904
HG02026,751,43,43,67,153,904
HG01871,798,2,18,86,106,904
HG02141,749,42,46,67,155,904
HG01873,789,7,8,100,115,904
HG02049,794,1,5,104,110,904
HG02086,794,4,4,102,110,904
HG02113,790,6,7,101,114,904
HG01847,794,6,3,101,110,904
