vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,127,26,14,35,75,202
HG02138,126,20,30,26,76,202
HG02075,124,58,12,8,78,202
HG02031,146,6,18,32,56,202
HG02084,129,52,10,11,73,202
HG02047,125,13,28,36,77,202
HG01597,146,14,10,32,56,202
HG01849,144,39,9,10,58,202
HG02023,130,26,9,37,72,202
HG01846,127,16,28,31,75,202
HG02081,146,30,7,19,56,202
HG01599,167,14,11,10,35,202
HG01866,136,9,48,9,66,202
HG02064,118,26,18,40,84,202
HG02069,117,27,22,36,85,202
HG02087,140,4,37,21,62,202
HG02017,128,55,10,9,74,202
HG01864,139,1,2,60,63,202
HG01868,119,27,14,42,83,202
HG01596,128,26,18,30,74,202
HG02072,140,21,33,8,62,202
HG02079,122,30,15,35,80,202
HG01600,146,8,29,19,56,202
HG02140,120,24,22,36,82,202
HG01841,118,29,16,39,84,202
HG02020,110,34,36,22,92,202
HG01878,125,19,27,31,77,202
HG02085,127,18,27,30,75,202
HG01598,131,10,6,55,71,202
HG01872,134,10,49,9,68,202
HG02073,126,28,18,30,76,202
HG01845,139,1,0,62,63,202
HG02032,141,13,18,30,61,202
HG02088,144,10,6,42,58,202
HG01840,125,28,31,18,77,202
HG01855,133,9,5,55,69,202
HG02050,130,43,8,21,72,202
HG01844,132,8,52,10,70,202
HG02067,146,8,28,20,56,202
HG02133,143,1,3,55,59,202
HG02127,143,40,11,8,59,202
HG02512,143,7,10,42,59,202
HG02040,142,11,29,20,60,202
HG01859,133,6,23,40,69,202
HG02078,181,0,3,18,21,202
HG02070,142,40,12,8,60,202
HG02029,128,54,10,10,74,202
HG02116,127,44,12,19,75,202
HG01842,138,3,1,60,64,202
HG01867,130,12,42,18,72,202
HG02060,140,12,31,19,62,202
HG01843,146,7,30,19,56,202
HG02028,148,3,25,26,54,202
HG01861,161,10,19,12,41,202
HG01869,129,14,51,8,73,202
HG01865,114,29,24,35,88,202
HG01848,145,9,5,43,57,202
HG02048,128,25,12,37,74,202
HG02130,120,63,11,8,82,202
HG01595,128,26,11,37,74,202
HG01860,113,29,28,32,89,202
HG01853,109,38,33,22,93,202
HG02139,134,6,30,32,68,202
HG02121,143,3,29,27,59,202
HG01858,135,41,1,25,67,202
HG02058,117,36,18,31,85,202
HG02076,146,28,7,21,56,202
HG02131,134,12,46,10,68,202
HG02522,129,22,24,27,73,202
HG02019,149,5,7,41,53,202
HG01851,144,10,40,8,58,202
HG02016,119,37,25,21,83,202
HG01874,118,34,31,19,84,202
HG02057,118,22,32,30,84,202
HG02521,130,17,47,8,72,202
HG02035,111,36,34,21,91,202
HG02025,128,5,46,23,74,202
HG02128,127,26,23,26,75,202
HG01862,126,27,12,37,76,202
HG02134,126,48,16,12,76,202
HG02082,146,7,7,42,56,202
HG02122,133,7,16,46,69,202
HG01870,130,9,53,10,72,202
HG02136,146,15,7,34,56,202
HG01852,125,14,28,35,77,202
HG02137,128,18,25,31,74,202
HG01850,142,9,33,18,60,202
HG01857,135,18,40,9,67,202
HG02061,134,50,10,8,68,202
HG02142,145,7,8,42,57,202
HG01863,123,10,59,10,79,202
HG02026,132,50,11,9,70,202
HG01871,178,6,2,16,24,202
HG02141,173,0,3,26,29,202
HG01873,147,5,28,22,55,202
HG02049,142,18,12,30,60,202
HG02086,148,14,8,32,54,202
HG02113,114,24,31,33,88,202
HG01847,128,53,11,10,74,202
