vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,7,0,4,0,4,11
HG02138,7,0,4,0,4,11
HG02075,9,0,2,0,2,11
HG02031,7,4,0,0,4,11
HG02084,11,0,0,0,0,11
HG02047,7,4,0,0,4,11
HG01597,11,0,0,0,0,11
HG01849,9,0,2,0,2,11
HG02023,7,4,0,0,4,11
HG01846,11,0,0,0,0,11
HG02081,7,0,4,0,4,11
HG01599,7,0,4,0,4,11
HG01866,7,0,4,0,4,11
HG02064,11,0,0,0,0,11
HG02069,11,0,0,0,0,11
HG02087,9,2,0,0,2,11
HG02017,8,2,1,0,3,11
HG01864,7,0,4,0,4,11
HG01868,8,0,3,0,3,11
HG01596,11,0,0,0,0,11
HG02072,11,0,0,0,0,11
HG02079,11,0,0,0,0,11
HG01600,11,0,0,0,0,11
HG02140,11,0,0,0,0,11
HG01841,11,0,0,0,0,11
HG02020,11,0,0,0,0,11
HG01878,7,4,0,0,4,11
HG02085,11,0,0,0,0,11
HG01598,11,0,0,0,0,11
HG01872,11,0,0,0,0,11
HG02073,7,4,0,0,4,11
HG01845,11,0,0,0,0,11
HG02032,7,0,0,4,4,11
HG02088,8,3,0,0,3,11
HG01840,9,2,0,0,2,11
HG01855,11,0,0,0,0,11
HG02050,8,3,0,0,3,11
HG01844,11,0,0,0,0,11
HG02067,11,0,0,0,0,11
HG02133,7,0,0,4,4,11
HG02127,7,0,4,0,4,11
HG02512,11,0,0,0,0,11
HG02040,11,0,0,0,0,11
HG01859,7,0,4,0,4,11
HG02078,11,0,0,0,0,11
HG02070,11,0,0,0,0,11
HG02029,11,0,0,0,0,11
HG02116,11,0,0,0,0,11
HG01842,7,0,4,0,4,11
HG01867,10,1,0,0,1,11
HG02060,11,0,0,0,0,11
HG01843,11,0,0,0,0,11
HG02028,7,0,4,0,4,11
HG01861,7,0,4,0,4,11
HG01869,7,0,0,4,4,11
HG01865,10,1,0,0,1,11
HG01848,7,0,4,0,4,11
HG02048,11,0,0,0,0,11
HG02130,7,0,4,0,4,11
HG01595,11,0,0,0,0,11
HG01860,11,0,0,0,0,11
HG01853,8,3,0,0,3,11
HG02139,7,0,4,0,4,11
HG02121,11,0,0,0,0,11
HG01858,7,4,0,0,4,11
HG02058,11,0,0,0,0,11
HG02076,11,0,0,0,0,11
HG02131,9,0,2,0,2,11
HG02522,11,0,0,0,0,11
HG02019,11,0,0,0,0,11
HG01851,7,0,4,0,4,11
HG02016,11,0,0,0,0,11
HG01874,11,0,0,0,0,11
HG02057,11,0,0,0,0,11
HG02521,9,2,0,0,2,11
HG02035,11,0,0,0,0,11
HG02025,11,0,0,0,0,11
HG02128,11,0,0,0,0,11
HG01862,11,0,0,0,0,11
HG02134,11,0,0,0,0,11
HG02082,11,0,0,0,0,11
HG02122,11,0,0,0,0,11
HG01870,10,1,0,0,1,11
HG02136,8,0,3,0,3,11
HG01852,9,0,2,0,2,11
HG02137,11,0,0,0,0,11
HG01850,11,0,0,0,0,11
HG01857,11,0,0,0,0,11
HG02061,7,4,0,0,4,11
HG02142,11,0,0,0,0,11
HG01863,7,0,0,4,4,11
HG02026,7,0,4,0,4,11
HG01871,11,0,0,0,0,11
HG02141,11,0,0,0,0,11
HG01873,8,3,0,0,3,11
HG02049,7,0,4,0,4,11
HG02086,11,0,0,0,0,11
HG02113,7,0,4,0,4,11
HG01847,7,4,0,0,4,11
