vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,82,5,1,0,6,88
HG02138,85,3,0,0,3,88
HG02075,83,3,2,0,5,88
HG02031,88,0,0,0,0,88
HG02084,82,1,5,0,6,88
HG02047,87,1,0,0,1,88
HG01597,76,5,4,3,12,88
HG01849,82,0,6,0,6,88
HG02023,85,2,1,0,3,88
HG01846,82,3,3,0,6,88
HG02081,82,1,5,0,6,88
HG01599,81,4,0,3,7,88
HG01866,82,6,0,0,6,88
HG02064,82,5,1,0,6,88
HG02069,81,1,6,0,7,88
HG02087,79,6,3,0,9,88
HG02017,66,17,5,0,22,88
HG01864,83,0,5,0,5,88
HG01868,82,5,1,0,6,88
HG01596,87,0,0,1,1,88
HG02072,86,1,1,0,2,88
HG02079,81,2,5,0,7,88
HG01600,88,0,0,0,0,88
HG02140,87,0,1,0,1,88
HG01841,83,4,1,0,5,88
HG02020,85,0,3,0,3,88
HG01878,79,9,0,0,9,88
HG02085,80,7,1,0,8,88
HG01598,62,7,19,0,26,88
HG01872,67,2,19,0,21,88
HG02073,83,0,2,3,5,88
HG01845,81,1,6,0,7,88
HG02032,78,9,1,0,10,88
HG02088,83,0,5,0,5,88
HG01840,83,4,1,0,5,88
HG01855,82,5,1,0,6,88
HG02050,79,8,1,0,9,88
HG01844,84,3,1,0,4,88
HG02067,72,12,4,0,16,88
HG02133,61,7,20,0,27,88
HG02127,86,1,0,1,2,88
HG02512,82,5,1,0,6,88
HG02040,74,10,0,4,14,88
HG01859,67,8,3,10,21,88
HG02078,86,0,1,1,2,88
HG02070,87,1,0,0,1,88
HG02029,85,3,0,0,3,88
HG02116,69,19,0,0,19,88
HG01842,86,1,1,0,2,88
HG01867,87,1,0,0,1,88
HG02060,82,1,5,0,6,88
HG01843,81,4,3,0,7,88
HG02028,79,6,3,0,9,88
HG01861,82,0,6,0,6,88
HG01869,87,1,0,0,1,88
HG01865,88,0,0,0,0,88
HG01848,81,5,2,0,7,88
HG02048,87,0,1,0,1,88
HG02130,85,1,2,0,3,88
HG01595,70,13,5,0,18,88
HG01860,77,4,7,0,11,88
HG01853,82,6,0,0,6,88
HG02139,86,0,2,0,2,88
HG02121,82,5,1,0,6,88
HG01858,87,0,1,0,1,88
HG02058,68,0,20,0,20,88
HG02076,87,0,1,0,1,88
HG02131,75,1,12,0,13,88
HG02522,78,3,7,0,10,88
HG02019,69,0,0,19,19,88
HG01851,79,5,4,0,9,88
HG02016,83,4,1,0,5,88
HG01874,81,2,5,0,7,88
HG02057,87,1,0,0,1,88
HG02521,68,19,1,0,20,88
HG02035,87,1,0,0,1,88
HG02025,80,1,7,0,8,88
HG02128,75,10,3,0,13,88
HG01862,79,6,3,0,9,88
HG02134,68,2,0,18,20,88
HG02082,82,6,0,0,6,88
HG02122,80,2,6,0,8,88
HG01870,86,1,1,0,2,88
HG02136,77,0,11,0,11,88
HG01852,69,18,1,0,19,88
HG02137,82,5,1,0,6,88
HG01850,69,0,19,0,19,88
HG01857,87,0,1,0,1,88
HG02061,82,1,5,0,6,88
HG02142,81,1,1,5,7,88
HG01863,68,19,1,0,20,88
HG02026,65,5,18,0,23,88
HG01871,76,9,3,0,12,88
HG02141,69,0,19,0,19,88
HG01873,78,5,5,0,10,88
HG02049,63,19,6,0,25,88
HG02086,87,0,0,1,1,88
HG02113,86,1,1,0,2,88
HG01847,83,0,1,4,5,88
