vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,10,0,0,0,0,10
HG02138,9,0,1,0,1,10
HG02075,10,0,0,0,0,10
HG02031,8,0,2,0,2,10
HG02084,10,0,0,0,0,10
HG02047,10,0,0,0,0,10
HG01597,9,0,1,0,1,10
HG01849,10,0,0,0,0,10
HG02023,9,0,1,0,1,10
HG01846,7,2,1,0,3,10
HG02081,8,1,1,0,2,10
HG01599,10,0,0,0,0,10
HG01866,9,1,0,0,1,10
HG02064,9,0,0,1,1,10
HG02069,10,0,0,0,0,10
HG02087,10,0,0,0,0,10
HG02017,9,0,0,1,1,10
HG01864,10,0,0,0,0,10
HG01868,9,0,1,0,1,10
HG01596,10,0,0,0,0,10
HG02072,10,0,0,0,0,10
HG02079,10,0,0,0,0,10
HG01600,8,0,2,0,2,10
HG02140,10,0,0,0,0,10
HG01841,10,0,0,0,0,10
HG02020,10,0,0,0,0,10
HG01878,9,0,1,0,1,10
HG02085,9,0,0,1,1,10
HG01598,10,0,0,0,0,10
HG01872,10,0,0,0,0,10
HG02073,9,0,0,1,1,10
HG01845,9,1,0,0,1,10
HG02032,10,0,0,0,0,10
HG02088,10,0,0,0,0,10
HG01840,9,0,1,0,1,10
HG01855,10,0,0,0,0,10
HG02050,10,0,0,0,0,10
HG01844,9,0,1,0,1,10
HG02067,10,0,0,0,0,10
HG02133,10,0,0,0,0,10
HG02127,10,0,0,0,0,10
HG02512,10,0,0,0,0,10
HG02040,10,0,0,0,0,10
HG01859,10,0,0,0,0,10
HG02078,10,0,0,0,0,10
HG02070,9,0,1,0,1,10
HG02029,10,0,0,0,0,10
HG02116,9,0,1,0,1,10
HG01842,7,1,2,0,3,10
HG01867,8,2,0,0,2,10
HG02060,10,0,0,0,0,10
HG01843,9,1,0,0,1,10
HG02028,10,0,0,0,0,10
HG01861,9,1,0,0,1,10
HG01869,9,1,0,0,1,10
HG01865,9,1,0,0,1,10
HG01848,8,1,1,0,2,10
HG02048,9,0,1,0,1,10
HG02130,10,0,0,0,0,10
HG01595,10,0,0,0,0,10
HG01860,10,0,0,0,0,10
HG01853,9,0,1,0,1,10
HG02139,8,1,1,0,2,10
HG02121,9,0,1,0,1,10
HG01858,9,0,0,1,1,10
HG02058,8,1,1,0,2,10
HG02076,10,0,0,0,0,10
HG02131,9,0,1,0,1,10
HG02522,9,1,0,0,1,10
HG02019,9,0,1,0,1,10
HG01851,9,0,1,0,1,10
HG02016,9,1,0,0,1,10
HG01874,10,0,0,0,0,10
HG02057,10,0,0,0,0,10
HG02521,10,0,0,0,0,10
HG02035,9,0,1,0,1,10
HG02025,9,0,1,0,1,10
HG02128,10,0,0,0,0,10
HG01862,9,1,0,0,1,10
HG02134,10,0,0,0,0,10
HG02082,8,1,1,0,2,10
HG02122,9,1,0,0,1,10
HG01870,9,0,0,1,1,10
HG02136,8,0,2,0,2,10
HG01852,9,0,0,1,1,10
HG02137,10,0,0,0,0,10
HG01850,9,0,1,0,1,10
HG01857,10,0,0,0,0,10
HG02061,10,0,0,0,0,10
HG02142,9,1,0,0,1,10
HG01863,10,0,0,0,0,10
HG02026,8,1,1,0,2,10
HG01871,9,0,1,0,1,10
HG02141,9,1,0,0,1,10
HG01873,9,1,0,0,1,10
HG02049,9,0,1,0,1,10
HG02086,9,0,1,0,1,10
HG02113,9,1,0,0,1,10
HG01847,7,1,2,0,3,10
