vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,21,0,0,0,0,21
HG02138,21,0,0,0,0,21
HG02075,21,0,0,0,0,21
HG02031,19,0,2,0,2,21
HG02084,21,0,0,0,0,21
HG02047,19,0,2,0,2,21
HG01597,21,0,0,0,0,21
HG01849,21,0,0,0,0,21
HG02023,21,0,0,0,0,21
HG01846,21,0,0,0,0,21
HG02081,21,0,0,0,0,21
HG01599,21,0,0,0,0,21
HG01866,21,0,0,0,0,21
HG02064,20,0,1,0,1,21
HG02069,21,0,0,0,0,21
HG02087,21,0,0,0,0,21
HG02017,21,0,0,0,0,21
HG01864,21,0,0,0,0,21
HG01868,21,0,0,0,0,21
HG01596,20,1,0,0,1,21
HG02072,21,0,0,0,0,21
HG02079,20,0,1,0,1,21
HG01600,21,0,0,0,0,21
HG02140,21,0,0,0,0,21
HG01841,20,1,0,0,1,21
HG02020,21,0,0,0,0,21
HG01878,21,0,0,0,0,21
HG02085,21,0,0,0,0,21
HG01598,21,0,0,0,0,21
HG01872,19,1,1,0,2,21
HG02073,21,0,0,0,0,21
HG01845,21,0,0,0,0,21
HG02032,21,0,0,0,0,21
HG02088,21,0,0,0,0,21
HG01840,21,0,0,0,0,21
HG01855,21,0,0,0,0,21
HG02050,21,0,0,0,0,21
HG01844,21,0,0,0,0,21
HG02067,21,0,0,0,0,21
HG02133,19,0,2,0,2,21
HG02127,21,0,0,0,0,21
HG02512,21,0,0,0,0,21
HG02040,21,0,0,0,0,21
HG01859,21,0,0,0,0,21
HG02078,21,0,0,0,0,21
HG02070,20,0,1,0,1,21
HG02029,20,0,1,0,1,21
HG02116,21,0,0,0,0,21
HG01842,21,0,0,0,0,21
HG01867,21,0,0,0,0,21
HG02060,21,0,0,0,0,21
HG01843,21,0,0,0,0,21
HG02028,20,0,1,0,1,21
HG01861,21,0,0,0,0,21
HG01869,20,1,0,0,1,21
HG01865,21,0,0,0,0,21
HG01848,21,0,0,0,0,21
HG02048,18,3,0,0,3,21
HG02130,21,0,0,0,0,21
HG01595,21,0,0,0,0,21
HG01860,21,0,0,0,0,21
HG01853,21,0,0,0,0,21
HG02139,19,0,0,2,2,21
HG02121,20,0,1,0,1,21
HG01858,20,1,0,0,1,21
HG02058,20,1,0,0,1,21
HG02076,21,0,0,0,0,21
HG02131,21,0,0,0,0,21
HG02522,20,1,0,0,1,21
HG02019,21,0,0,0,0,21
HG01851,21,0,0,0,0,21
HG02016,21,0,0,0,0,21
HG01874,20,1,0,0,1,21
HG02057,21,0,0,0,0,21
HG02521,21,0,0,0,0,21
HG02035,21,0,0,0,0,21
HG02025,21,0,0,0,0,21
HG02128,21,0,0,0,0,21
HG01862,21,0,0,0,0,21
HG02134,21,0,0,0,0,21
HG02082,20,1,0,0,1,21
HG02122,21,0,0,0,0,21
HG01870,21,0,0,0,0,21
HG02136,20,0,1,0,1,21
HG01852,21,0,0,0,0,21
HG02137,21,0,0,0,0,21
HG01850,20,0,1,0,1,21
HG01857,20,0,1,0,1,21
HG02061,21,0,0,0,0,21
HG02142,19,2,0,0,2,21
HG01863,21,0,0,0,0,21
HG02026,21,0,0,0,0,21
HG01871,20,1,0,0,1,21
HG02141,21,0,0,0,0,21
HG01873,18,3,0,0,3,21
HG02049,20,0,1,0,1,21
HG02086,20,1,0,0,1,21
HG02113,21,0,0,0,0,21
HG01847,21,0,0,0,0,21
