vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,313,32,4,9,45,358
HG02138,349,1,2,6,9,358
HG02075,343,3,2,10,15,358
HG02031,343,5,3,7,15,358
HG02084,346,1,1,10,12,358
HG02047,341,9,4,4,17,358
HG01597,281,66,5,6,77,358
HG01849,344,4,0,10,14,358
HG02023,247,44,44,23,111,358
HG01846,284,5,65,4,74,358
HG02081,241,105,6,6,117,358
HG01599,343,1,3,11,15,358
HG01866,340,10,4,4,18,358
HG02064,241,5,106,6,117,358
HG02069,292,2,60,4,66,358
HG02087,288,58,6,6,70,358
HG02017,342,4,2,10,16,358
HG01864,342,4,8,4,16,358
HG01868,287,4,3,64,71,358
HG01596,344,1,0,13,14,358
HG02072,287,3,64,4,71,358
HG02079,338,5,11,4,20,358
HG01600,288,5,58,7,70,358
HG02140,343,4,7,4,15,358
HG01841,239,108,7,4,119,358
HG02020,290,5,59,4,68,358
HG01878,341,9,4,4,17,358
HG02085,285,3,66,4,73,358
HG01598,288,1,1,68,70,358
HG01872,236,109,7,6,122,358
HG02073,344,7,3,4,14,358
HG01845,286,3,65,4,72,358
HG02032,339,10,5,4,19,358
HG02088,350,2,0,6,8,358
HG01840,245,5,102,6,113,358
HG01855,289,56,6,7,69,358
HG02050,349,0,3,6,9,358
HG01844,344,2,8,4,14,358
HG02067,220,28,69,41,138,358
HG02133,283,7,62,6,75,358
HG02127,248,41,46,23,110,358
HG02512,286,55,11,6,72,358
HG02040,285,3,39,31,73,358
HG01859,239,8,105,6,119,358
HG02078,287,4,1,66,71,358
HG02070,351,0,0,7,7,358
HG02029,287,58,7,6,71,358
HG02116,291,60,3,4,67,358
HG01842,343,3,3,9,15,358
HG01867,240,4,110,4,118,358
HG02060,241,110,3,4,117,358
HG01843,217,30,70,41,141,358
HG02028,350,0,2,6,8,358
HG01861,245,105,4,4,113,358
HG01869,349,1,2,6,9,358
HG01865,244,0,109,5,114,358
HG01848,283,66,5,4,75,358
HG02048,343,2,2,11,15,358
HG02130,343,3,8,4,15,358
HG01595,342,2,3,11,16,358
HG01860,343,3,2,10,15,358
HG01853,344,3,7,4,14,358
HG02139,341,4,9,4,17,358
HG02121,205,90,40,23,153,358
HG01858,284,5,63,6,74,358
HG02058,281,8,63,6,77,358
HG02076,283,5,64,6,75,358
HG02131,343,2,3,10,15,358
HG02522,282,6,64,6,76,358
HG02019,344,3,1,10,14,358
HG01851,343,4,3,8,15,358
HG02016,287,7,56,8,71,358
HG01874,343,7,4,4,15,358
HG02057,284,5,65,4,74,358
HG02521,341,9,4,4,17,358
HG02035,344,8,2,4,14,358
HG02025,348,3,1,6,10,358
HG02128,285,3,66,4,73,358
HG01862,241,105,6,6,117,358
HG02134,339,4,11,4,19,358
HG02082,286,65,3,4,72,358
HG02122,343,7,4,4,15,358
HG01870,337,6,5,10,21,358
HG02136,344,7,3,4,14,358
HG01852,283,61,8,6,75,358
HG02137,284,67,3,4,74,358
HG01850,341,2,11,4,17,358
HG01857,343,2,4,9,15,358
HG02061,288,0,9,61,70,358
HG02142,242,109,3,4,116,358
HG01863,281,64,7,6,77,358
HG02026,338,5,11,4,20,358
HG01871,342,6,2,8,16,358
HG02141,344,1,3,10,14,358
HG01873,343,8,3,4,15,358
HG02049,337,4,13,4,21,358
HG02086,342,8,4,4,16,358
HG02113,200,45,89,24,158,358
HG01847,280,61,11,6,78,358
