vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,96,13,44,14,71,167
HG02138,104,38,8,17,63,167
HG02075,94,45,15,13,73,167
HG02031,125,3,5,34,42,167
HG02084,109,4,2,52,58,167
HG02047,104,2,23,38,63,167
HG01597,100,7,25,35,67,167
HG01849,101,26,4,36,66,167
HG02023,98,11,14,44,69,167
HG01846,104,23,35,5,63,167
HG02081,103,6,22,36,64,167
HG01599,109,19,4,35,58,167
HG01866,105,38,20,4,62,167
HG02064,101,6,9,51,66,167
HG02069,96,43,9,19,71,167
HG02087,103,22,5,37,64,167
HG02017,95,15,12,45,72,167
HG01864,100,8,6,53,67,167
HG01868,109,0,5,53,58,167
HG01596,108,5,35,19,59,167
HG02072,130,13,13,11,37,167
HG02079,106,33,22,6,61,167
HG01600,103,19,8,37,64,167
HG02140,107,38,8,14,60,167
HG01841,100,41,13,13,67,167
HG02020,94,15,44,14,73,167
HG01878,103,36,22,6,64,167
HG02085,104,21,38,4,63,167
HG01598,98,43,12,14,69,167
HG01872,102,6,25,34,65,167
HG02073,95,47,14,11,72,167
HG01845,103,6,20,38,64,167
HG02032,99,17,10,41,68,167
HG02088,105,4,23,35,62,167
HG01840,108,22,3,34,59,167
HG01855,123,2,4,38,44,167
HG02050,139,4,6,18,28,167
HG01844,102,10,8,47,65,167
HG02067,105,5,21,36,62,167
HG02133,107,37,7,16,60,167
HG02127,108,20,36,3,59,167
HG02512,97,13,44,13,70,167
HG02040,95,13,49,10,72,167
HG01859,103,10,2,52,64,167
HG02078,101,39,7,20,66,167
HG02070,129,11,13,14,38,167
HG02029,104,20,10,33,63,167
HG02116,99,16,9,43,68,167
HG01842,94,14,12,47,73,167
HG01867,106,2,3,56,61,167
HG02060,106,36,7,18,61,167
HG01843,96,13,15,43,71,167
HG02028,110,6,33,18,57,167
HG01861,97,41,16,13,70,167
HG01869,105,16,5,41,62,167
HG01865,136,5,5,21,31,167
HG01848,102,10,40,15,65,167
HG02048,105,8,37,17,62,167
HG02130,100,8,41,18,67,167
HG01595,103,7,19,38,64,167
HG01860,98,13,37,19,69,167
HG01853,106,24,34,3,61,167
HG02139,105,39,4,19,62,167
HG02121,126,2,3,36,41,167
HG01858,106,35,7,19,61,167
HG02058,107,21,34,5,60,167
HG02076,106,5,3,53,61,167
HG02131,104,21,40,2,63,167
HG02522,102,2,26,37,65,167
HG02019,97,14,11,45,70,167
HG01851,105,8,38,16,62,167
HG02016,128,10,14,15,39,167
HG01874,104,21,37,5,63,167
HG02057,107,21,35,4,60,167
HG02521,105,38,2,22,62,167
HG02035,138,6,3,20,29,167
HG02025,107,7,2,51,60,167
HG02128,102,20,8,37,65,167
HG01862,108,10,32,17,59,167
HG02134,138,5,4,20,29,167
HG02082,104,4,39,20,63,167
HG02122,95,14,17,41,72,167
HG01870,105,4,42,16,62,167
HG02136,137,8,6,16,30,167
HG01852,98,45,14,10,69,167
HG02137,107,6,35,19,60,167
HG01850,106,18,39,4,61,167
HG01857,105,35,23,4,62,167
HG02061,98,11,14,44,69,167
HG02142,105,39,7,16,62,167
HG01863,103,5,7,52,64,167
HG02026,105,5,18,39,62,167
HG01871,107,18,38,4,60,167
HG02141,109,18,37,3,58,167
HG01873,106,21,5,35,61,167
HG02049,107,3,38,19,60,167
HG02086,105,35,7,20,62,167
HG02113,94,12,18,43,73,167
HG01847,104,22,6,35,63,167
