vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,33,0,2,0,2,35
HG02138,29,0,6,0,6,35
HG02075,29,6,0,0,6,35
HG02031,31,4,0,0,4,35
HG02084,35,0,0,0,0,35
HG02047,28,6,1,0,7,35
HG01597,35,0,0,0,0,35
HG01849,29,6,0,0,6,35
HG02023,31,4,0,0,4,35
HG01846,34,0,1,0,1,35
HG02081,33,0,2,0,2,35
HG01599,29,6,0,0,6,35
HG01866,29,0,6,0,6,35
HG02064,29,6,0,0,6,35
HG02069,35,0,0,0,0,35
HG02087,35,0,0,0,0,35
HG02017,29,6,0,0,6,35
HG01864,31,2,2,0,4,35
HG01868,35,0,0,0,0,35
HG01596,35,0,0,0,0,35
HG02072,35,0,0,0,0,35
HG02079,30,5,0,0,5,35
HG01600,33,2,0,0,2,35
HG02140,35,0,0,0,0,35
HG01841,34,1,0,0,1,35
HG02020,33,2,0,0,2,35
HG01878,33,2,0,0,2,35
HG02085,35,0,0,0,0,35
HG01598,29,0,2,4,6,35
HG01872,29,0,6,0,6,35
HG02073,29,2,0,4,6,35
HG01845,31,0,4,0,4,35
HG02032,33,2,0,0,2,35
HG02088,31,0,4,0,4,35
HG01840,35,0,0,0,0,35
HG01855,27,8,0,0,8,35
HG02050,29,4,2,0,6,35
HG01844,33,0,2,0,2,35
HG02067,35,0,0,0,0,35
HG02133,35,0,0,0,0,35
HG02127,32,2,1,0,3,35
HG02512,35,0,0,0,0,35
HG02040,35,0,0,0,0,35
HG01859,29,6,0,0,6,35
HG02078,34,0,1,0,1,35
HG02070,35,0,0,0,0,35
HG02029,34,0,1,0,1,35
HG02116,34,0,1,0,1,35
HG01842,30,0,5,0,5,35
HG01867,29,0,6,0,6,35
HG02060,30,0,5,0,5,35
HG01843,33,2,0,0,2,35
HG02028,35,0,0,0,0,35
HG01861,30,5,0,0,5,35
HG01869,35,0,0,0,0,35
HG01865,30,1,4,0,5,35
HG01848,35,0,0,0,0,35
HG02048,30,1,4,0,5,35
HG02130,35,0,0,0,0,35
HG01595,35,0,0,0,0,35
HG01860,35,0,0,0,0,35
HG01853,33,2,0,0,2,35
HG02139,35,0,0,0,0,35
HG02121,32,3,0,0,3,35
HG01858,35,0,0,0,0,35
HG02058,33,0,2,0,2,35
HG02076,35,0,0,0,0,35
HG02131,35,0,0,0,0,35
HG02522,34,1,0,0,1,35
HG02019,29,0,6,0,6,35
HG01851,32,3,0,0,3,35
HG02016,29,0,6,0,6,35
HG01874,28,1,6,0,7,35
HG02057,33,1,1,0,2,35
HG02521,34,0,1,0,1,35
HG02035,30,1,2,2,5,35
HG02025,30,5,0,0,5,35
HG02128,30,0,5,0,5,35
HG01862,35,0,0,0,0,35
HG02134,35,0,0,0,0,35
HG02082,34,1,0,0,1,35
HG02122,31,4,0,0,4,35
HG01870,28,1,6,0,7,35
HG02136,31,0,1,3,4,35
HG01852,29,0,6,0,6,35
HG02137,29,1,5,0,6,35
HG01850,33,2,0,0,2,35
HG01857,28,7,0,0,7,35
HG02061,34,0,1,0,1,35
HG02142,34,0,1,0,1,35
HG01863,35,0,0,0,0,35
HG02026,35,0,0,0,0,35
HG01871,35,0,0,0,0,35
HG02141,35,0,0,0,0,35
HG01873,29,0,6,0,6,35
HG02049,31,0,4,0,4,35
HG02086,35,0,0,0,0,35
HG02113,35,0,0,0,0,35
HG01847,31,2,2,0,4,35
