vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,12,0,1,0,1,13
HG02138,9,0,4,0,4,13
HG02075,13,0,0,0,0,13
HG02031,13,0,0,0,0,13
HG02084,13,0,0,0,0,13
HG02047,12,0,1,0,1,13
HG01597,13,0,0,0,0,13
HG01849,13,0,0,0,0,13
HG02023,13,0,0,0,0,13
HG01846,13,0,0,0,0,13
HG02081,13,0,0,0,0,13
HG01599,13,0,0,0,0,13
HG01866,9,0,4,0,4,13
HG02064,13,0,0,0,0,13
HG02069,13,0,0,0,0,13
HG02087,13,0,0,0,0,13
HG02017,8,0,5,0,5,13
HG01864,13,0,0,0,0,13
HG01868,8,1,4,0,5,13
HG01596,13,0,0,0,0,13
HG02072,13,0,0,0,0,13
HG02079,13,0,0,0,0,13
HG01600,13,0,0,0,0,13
HG02140,13,0,0,0,0,13
HG01841,13,0,0,0,0,13
HG02020,13,0,0,0,0,13
HG01878,13,0,0,0,0,13
HG02085,13,0,0,0,0,13
HG01598,13,0,0,0,0,13
HG01872,13,0,0,0,0,13
HG02073,13,0,0,0,0,13
HG01845,10,3,0,0,3,13
HG02032,9,4,0,0,4,13
HG02088,13,0,0,0,0,13
HG01840,13,0,0,0,0,13
HG01855,12,0,1,0,1,13
HG02050,13,0,0,0,0,13
HG01844,13,0,0,0,0,13
HG02067,9,4,0,0,4,13
HG02133,10,3,0,0,3,13
HG02127,13,0,0,0,0,13
HG02512,13,0,0,0,0,13
HG02040,9,4,0,0,4,13
HG01859,13,0,0,0,0,13
HG02078,13,0,0,0,0,13
HG02070,13,0,0,0,0,13
HG02029,13,0,0,0,0,13
HG02116,12,0,1,0,1,13
HG01842,13,0,0,0,0,13
HG01867,10,0,3,0,3,13
HG02060,9,4,0,0,4,13
HG01843,10,0,3,0,3,13
HG02028,13,0,0,0,0,13
HG01861,9,0,4,0,4,13
HG01869,13,0,0,0,0,13
HG01865,13,0,0,0,0,13
HG01848,13,0,0,0,0,13
HG02048,13,0,0,0,0,13
HG02130,13,0,0,0,0,13
HG01595,12,0,1,0,1,13
HG01860,13,0,0,0,0,13
HG01853,13,0,0,0,0,13
HG02139,13,0,0,0,0,13
HG02121,13,0,0,0,0,13
HG01858,13,0,0,0,0,13
HG02058,9,0,4,0,4,13
HG02076,9,4,0,0,4,13
HG02131,13,0,0,0,0,13
HG02522,12,1,0,0,1,13
HG02019,13,0,0,0,0,13
HG01851,13,0,0,0,0,13
HG02016,13,0,0,0,0,13
HG01874,9,0,4,0,4,13
HG02057,13,0,0,0,0,13
HG02521,13,0,0,0,0,13
HG02035,12,1,0,0,1,13
HG02025,10,3,0,0,3,13
HG02128,13,0,0,0,0,13
HG01862,9,4,0,0,4,13
HG02134,10,3,0,0,3,13
HG02082,13,0,0,0,0,13
HG02122,12,1,0,0,1,13
HG01870,10,0,0,3,3,13
HG02136,13,0,0,0,0,13
HG01852,13,0,0,0,0,13
HG02137,13,0,0,0,0,13
HG01850,13,0,0,0,0,13
HG01857,13,0,0,0,0,13
HG02061,13,0,0,0,0,13
HG02142,13,0,0,0,0,13
HG01863,9,4,0,0,4,13
HG02026,13,0,0,0,0,13
HG01871,10,3,0,0,3,13
HG02141,13,0,0,0,0,13
HG01873,13,0,0,0,0,13
HG02049,13,0,0,0,0,13
HG02086,13,0,0,0,0,13
HG02113,13,0,0,0,0,13
HG01847,13,0,0,0,0,13
