vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,194,7,71,3,81,275
HG02138,261,6,6,2,14,275
HG02075,149,80,22,24,126,275
HG02031,200,69,3,3,75,275
HG02084,176,26,51,22,99,275
HG02047,198,71,4,2,77,275
HG01597,197,4,71,3,78,275
HG01849,223,45,4,3,52,275
HG02023,198,4,70,3,77,275
HG01846,179,25,49,22,96,275
HG02081,261,5,7,2,14,275
HG01599,198,3,71,3,77,275
HG01866,225,4,44,2,50,275
HG02064,193,6,73,3,82,275
HG02069,175,52,26,22,100,275
HG02087,226,45,2,2,49,275
HG02017,263,4,6,2,12,275
HG01864,194,6,71,4,81,275
HG01868,224,4,45,2,51,275
HG01596,263,4,0,8,12,275
HG02072,195,5,72,3,80,275
HG02079,262,5,6,2,13,275
HG01600,192,7,73,3,83,275
HG02140,198,71,3,3,77,275
HG01841,221,4,47,3,54,275
HG02020,150,79,22,24,125,275
HG01878,227,39,6,3,48,275
HG02085,173,27,53,22,102,275
HG01598,199,2,1,73,76,275
HG01872,191,6,75,3,84,275
HG02073,192,6,74,3,83,275
HG01845,224,0,4,47,51,275
HG02032,178,25,50,22,97,275
HG02088,223,5,44,3,52,275
HG01840,199,2,3,71,76,275
HG01855,221,5,45,4,54,275
HG02050,223,1,5,46,52,275
HG01844,197,5,69,4,78,275
HG02067,197,73,3,2,78,275
HG02133,200,4,68,3,75,275
HG02127,263,5,5,2,12,275
HG02512,175,53,25,22,100,275
HG02040,224,3,2,46,51,275
HG01859,222,45,5,3,53,275
HG02078,221,8,43,3,54,275
HG02070,262,1,9,3,13,275
HG02029,221,6,44,4,54,275
HG02116,197,3,3,72,78,275
HG01842,225,3,1,46,50,275
HG01867,173,26,54,22,102,275
HG02060,176,26,51,22,99,275
HG01843,223,4,45,3,52,275
HG02028,225,43,4,3,50,275
HG01861,261,3,5,6,14,275
HG01869,222,5,45,3,53,275
HG01865,195,72,5,3,80,275
HG01848,173,25,55,22,102,275
HG02048,175,27,51,22,100,275
HG02130,224,3,45,3,51,275
HG01595,175,51,27,22,100,275
HG01860,148,23,80,24,127,275
HG01853,263,9,1,2,12,275
HG02139,265,2,2,6,10,275
HG02121,175,51,27,22,100,275
HG01858,228,1,0,46,47,275
HG02058,266,2,1,6,9,275
HG02076,222,6,43,4,53,275
HG02131,176,24,53,22,99,275
HG02522,220,6,46,3,55,275
HG02019,223,45,4,3,52,275
HG01851,148,24,79,24,127,275
HG02016,222,4,47,2,53,275
HG01874,191,75,6,3,84,275
HG02057,223,4,45,3,52,275
HG02521,196,71,5,3,79,275
HG02035,176,27,50,22,99,275
HG02025,174,27,52,22,101,275
HG02128,226,46,1,2,49,275
HG01862,174,27,52,22,101,275
HG02134,178,25,50,22,97,275
HG02082,176,53,24,22,99,275
HG02122,171,98,4,2,104,275
HG01870,261,5,2,7,14,275
HG02136,225,43,4,3,50,275
HG01852,202,1,1,71,73,275
HG02137,174,27,52,22,101,275
HG01850,224,2,3,46,51,275
HG01857,224,3,2,46,51,275
HG02061,173,26,54,22,102,275
HG02142,176,51,26,22,99,275
HG01863,223,5,43,4,52,275
HG02026,177,50,26,22,98,275
HG01871,198,70,4,3,77,275
HG02141,260,4,5,6,15,275
HG01873,226,4,43,2,49,275
HG02049,192,71,9,3,83,275
HG02086,198,72,3,2,77,275
HG02113,260,8,5,2,15,275
HG01847,197,4,71,3,78,275
