vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,46,0,0,0,0,46
HG02138,45,0,1,0,1,46
HG02075,33,0,13,0,13,46
HG02031,33,1,12,0,13,46
HG02084,46,0,0,0,0,46
HG02047,45,1,0,0,1,46
HG01597,41,1,2,2,5,46
HG01849,44,0,2,0,2,46
HG02023,46,0,0,0,0,46
HG01846,33,0,13,0,13,46
HG02081,46,0,0,0,0,46
HG01599,45,1,0,0,1,46
HG01866,45,1,0,0,1,46
HG02064,45,1,0,0,1,46
HG02069,45,1,0,0,1,46
HG02087,46,0,0,0,0,46
HG02017,46,0,0,0,0,46
HG01864,46,0,0,0,0,46
HG01868,43,0,3,0,3,46
HG01596,45,0,1,0,1,46
HG02072,42,0,4,0,4,46
HG02079,46,0,0,0,0,46
HG01600,33,0,1,12,13,46
HG02140,46,0,0,0,0,46
HG01841,34,12,0,0,12,46
HG02020,46,0,0,0,0,46
HG01878,46,0,0,0,0,46
HG02085,45,0,1,0,1,46
HG01598,46,0,0,0,0,46
HG01872,46,0,0,0,0,46
HG02073,45,0,1,0,1,46
HG01845,44,1,1,0,2,46
HG02032,46,0,0,0,0,46
HG02088,46,0,0,0,0,46
HG01840,45,0,1,0,1,46
HG01855,46,0,0,0,0,46
HG02050,46,0,0,0,0,46
HG01844,46,0,0,0,0,46
HG02067,42,4,0,0,4,46
HG02133,44,2,0,0,2,46
HG02127,34,12,0,0,12,46
HG02512,46,0,0,0,0,46
HG02040,46,0,0,0,0,46
HG01859,32,0,14,0,14,46
HG02078,45,1,0,0,1,46
HG02070,46,0,0,0,0,46
HG02029,45,1,0,0,1,46
HG02116,44,0,2,0,2,46
HG01842,44,0,2,0,2,46
HG01867,44,0,0,2,2,46
HG02060,46,0,0,0,0,46
HG01843,32,0,14,0,14,46
HG02028,46,0,0,0,0,46
HG01861,42,4,0,0,4,46
HG01869,46,0,0,0,0,46
HG01865,46,0,0,0,0,46
HG01848,44,2,0,0,2,46
HG02048,46,0,0,0,0,46
HG02130,44,1,1,0,2,46
HG01595,44,1,1,0,2,46
HG01860,32,14,0,0,14,46
HG01853,45,0,1,0,1,46
HG02139,46,0,0,0,0,46
HG02121,45,1,0,0,1,46
HG01858,45,0,1,0,1,46
HG02058,46,0,0,0,0,46
HG02076,46,0,0,0,0,46
HG02131,42,2,2,0,4,46
HG02522,45,1,0,0,1,46
HG02019,45,0,1,0,1,46
HG01851,38,0,8,0,8,46
HG02016,45,1,0,0,1,46
HG01874,46,0,0,0,0,46
HG02057,46,0,0,0,0,46
HG02521,46,0,0,0,0,46
HG02035,46,0,0,0,0,46
HG02025,43,0,3,0,3,46
HG02128,46,0,0,0,0,46
HG01862,43,1,2,0,3,46
HG02134,45,1,0,0,1,46
HG02082,46,0,0,0,0,46
HG02122,46,0,0,0,0,46
HG01870,46,0,0,0,0,46
HG02136,41,3,2,0,5,46
HG01852,46,0,0,0,0,46
HG02137,46,0,0,0,0,46
HG01850,46,0,0,0,0,46
HG01857,44,1,1,0,2,46
HG02061,46,0,0,0,0,46
HG02142,46,0,0,0,0,46
HG01863,46,0,0,0,0,46
HG02026,44,0,2,0,2,46
HG01871,43,0,3,0,3,46
HG02141,46,0,0,0,0,46
HG01873,34,12,0,0,12,46
HG02049,46,0,0,0,0,46
HG02086,46,0,0,0,0,46
HG02113,46,0,0,0,0,46
HG01847,45,0,1,0,1,46
