vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,11,0,0,0,0,11
HG02138,11,0,0,0,0,11
HG02075,11,0,0,0,0,11
HG02031,11,0,0,0,0,11
HG02084,11,0,0,0,0,11
HG02047,11,0,0,0,0,11
HG01597,11,0,0,0,0,11
HG01849,11,0,0,0,0,11
HG02023,5,0,0,6,6,11
HG01846,11,0,0,0,0,11
HG02081,11,0,0,0,0,11
HG01599,11,0,0,0,0,11
HG01866,10,1,0,0,1,11
HG02064,11,0,0,0,0,11
HG02069,5,6,0,0,6,11
HG02087,11,0,0,0,0,11
HG02017,11,0,0,0,0,11
HG01864,11,0,0,0,0,11
HG01868,11,0,0,0,0,11
HG01596,11,0,0,0,0,11
HG02072,11,0,0,0,0,11
HG02079,6,0,5,0,5,11
HG01600,11,0,0,0,0,11
HG02140,11,0,0,0,0,11
HG01841,11,0,0,0,0,11
HG02020,11,0,0,0,0,11
HG01878,11,0,0,0,0,11
HG02085,10,1,0,0,1,11
HG01598,11,0,0,0,0,11
HG01872,5,0,6,0,6,11
HG02073,11,0,0,0,0,11
HG01845,11,0,0,0,0,11
HG02032,11,0,0,0,0,11
HG02088,11,0,0,0,0,11
HG01840,11,0,0,0,0,11
HG01855,11,0,0,0,0,11
HG02050,11,0,0,0,0,11
HG01844,6,5,0,0,5,11
HG02067,11,0,0,0,0,11
HG02133,11,0,0,0,0,11
HG02127,11,0,0,0,0,11
HG02512,5,0,6,0,6,11
HG02040,11,0,0,0,0,11
HG01859,11,0,0,0,0,11
HG02078,11,0,0,0,0,11
HG02070,5,6,0,0,6,11
HG02029,11,0,0,0,0,11
HG02116,11,0,0,0,0,11
HG01842,11,0,0,0,0,11
HG01867,11,0,0,0,0,11
HG02060,11,0,0,0,0,11
HG01843,11,0,0,0,0,11
HG02028,11,0,0,0,0,11
HG01861,10,1,0,0,1,11
HG01869,11,0,0,0,0,11
HG01865,11,0,0,0,0,11
HG01848,11,0,0,0,0,11
HG02048,11,0,0,0,0,11
HG02130,11,0,0,0,0,11
HG01595,11,0,0,0,0,11
HG01860,11,0,0,0,0,11
HG01853,11,0,0,0,0,11
HG02139,11,0,0,0,0,11
HG02121,5,0,6,0,6,11
HG01858,11,0,0,0,0,11
HG02058,11,0,0,0,0,11
HG02076,10,0,1,0,1,11
HG02131,11,0,0,0,0,11
HG02522,11,0,0,0,0,11
HG02019,11,0,0,0,0,11
HG01851,11,0,0,0,0,11
HG02016,11,0,0,0,0,11
HG01874,11,0,0,0,0,11
HG02057,11,0,0,0,0,11
HG02521,11,0,0,0,0,11
HG02035,11,0,0,0,0,11
HG02025,11,0,0,0,0,11
HG02128,11,0,0,0,0,11
HG01862,11,0,0,0,0,11
HG02134,11,0,0,0,0,11
HG02082,11,0,0,0,0,11
HG02122,11,0,0,0,0,11
HG01870,11,0,0,0,0,11
HG02136,11,0,0,0,0,11
HG01852,11,0,0,0,0,11
HG02137,11,0,0,0,0,11
HG01850,11,0,0,0,0,11
HG01857,11,0,0,0,0,11
HG02061,11,0,0,0,0,11
HG02142,11,0,0,0,0,11
HG01863,11,0,0,0,0,11
HG02026,11,0,0,0,0,11
HG01871,11,0,0,0,0,11
HG02141,11,0,0,0,0,11
HG01873,11,0,0,0,0,11
HG02049,11,0,0,0,0,11
HG02086,11,0,0,0,0,11
HG02113,11,0,0,0,0,11
HG01847,11,0,0,0,0,11
HG02513,33,0,2,0,2,35
HG02138,29,0,6,0,6,35
HG02075,29,6,0,0,6,35
HG02031,31,4,0,0,4,35
HG02084,35,0,0,0,0,35
HG02047,28,6,1,0,7,35
HG01597,35,0,0,0,0,35
HG01849,29,6,0,0,6,35
HG02023,31,4,0,0,4,35
HG01846,34,0,1,0,1,35
HG02081,33,0,2,0,2,35
HG01599,29,6,0,0,6,35
HG01866,29,0,6,0,6,35
HG02064,29,6,0,0,6,35
HG02069,35,0,0,0,0,35
HG02087,35,0,0,0,0,35
HG02017,29,6,0,0,6,35
HG01864,31,2,2,0,4,35
HG01868,35,0,0,0,0,35
HG01596,35,0,0,0,0,35
HG02072,35,0,0,0,0,35
HG02079,30,5,0,0,5,35
HG01600,33,2,0,0,2,35
HG02140,35,0,0,0,0,35
HG01841,34,1,0,0,1,35
HG02020,33,2,0,0,2,35
HG01878,33,2,0,0,2,35
HG02085,35,0,0,0,0,35
HG01598,29,0,2,4,6,35
HG01872,29,0,6,0,6,35
HG02073,29,2,0,4,6,35
HG01845,31,0,4,0,4,35
HG02032,33,2,0,0,2,35
HG02088,31,0,4,0,4,35
HG01840,35,0,0,0,0,35
HG01855,27,8,0,0,8,35
HG02050,29,4,2,0,6,35
HG01844,33,0,2,0,2,35
HG02067,35,0,0,0,0,35
HG02133,35,0,0,0,0,35
HG02127,32,2,1,0,3,35
HG02512,35,0,0,0,0,35
HG02040,35,0,0,0,0,35
HG01859,29,6,0,0,6,35
HG02078,34,0,1,0,1,35
HG02070,35,0,0,0,0,35
HG02029,34,0,1,0,1,35
HG02116,34,0,1,0,1,35
HG01842,30,0,5,0,5,35
HG01867,29,0,6,0,6,35
HG02060,30,0,5,0,5,35
HG01843,33,2,0,0,2,35
HG02028,35,0,0,0,0,35
HG01861,30,5,0,0,5,35
HG01869,35,0,0,0,0,35
HG01865,30,1,4,0,5,35
HG01848,35,0,0,0,0,35
HG02048,30,1,4,0,5,35
HG02130,35,0,0,0,0,35
HG01595,35,0,0,0,0,35
HG01860,35,0,0,0,0,35
HG01853,33,2,0,0,2,35
HG02139,35,0,0,0,0,35
HG02121,32,3,0,0,3,35
HG01858,35,0,0,0,0,35
HG02058,33,0,2,0,2,35
HG02076,35,0,0,0,0,35
HG02131,35,0,0,0,0,35
HG02522,34,1,0,0,1,35
HG02019,29,0,6,0,6,35
HG01851,32,3,0,0,3,35
HG02016,29,0,6,0,6,35
HG01874,28,1,6,0,7,35
HG02057,33,1,1,0,2,35
HG02521,34,0,1,0,1,35
HG02035,30,1,2,2,5,35
HG02025,30,5,0,0,5,35
HG02128,30,0,5,0,5,35
HG01862,35,0,0,0,0,35
HG02134,35,0,0,0,0,35
HG02082,34,1,0,0,1,35
HG02122,31,4,0,0,4,35
HG01870,28,1,6,0,7,35
HG02136,31,0,1,3,4,35
HG01852,29,0,6,0,6,35
HG02137,29,1,5,0,6,35
HG01850,33,2,0,0,2,35
HG01857,28,7,0,0,7,35
HG02061,34,0,1,0,1,35
HG02142,34,0,1,0,1,35
HG01863,35,0,0,0,0,35
HG02026,35,0,0,0,0,35
HG01871,35,0,0,0,0,35
HG02141,35,0,0,0,0,35
HG01873,29,0,6,0,6,35
HG02049,31,0,4,0,4,35
HG02086,35,0,0,0,0,35
HG02113,35,0,0,0,0,35
HG01847,31,2,2,0,4,35
HG02513,174,4,14,0,18,192
HG02138,185,5,2,0,7,192
HG02075,134,36,19,3,58,192
HG02031,176,14,2,0,16,192
HG02084,154,24,14,0,38,192
HG02047,177,14,1,0,15,192
HG01597,175,3,14,0,17,192
HG01849,169,23,0,0,23,192
HG02023,178,0,14,0,14,192
HG01846,157,22,13,0,35,192
HG02081,185,4,3,0,7,192
HG01599,176,0,16,0,16,192
HG01866,167,4,21,0,25,192
HG02064,173,2,17,0,19,192
HG02069,154,15,23,0,38,192
HG02087,168,22,2,0,24,192
HG02017,188,4,0,0,4,192
HG01864,175,0,17,0,17,192
HG01868,165,4,23,0,27,192
HG01596,189,1,0,2,3,192
HG02072,175,0,17,0,17,192
HG02079,186,1,5,0,6,192
HG01600,171,4,17,0,21,192
HG02140,178,14,0,0,14,192
HG01841,168,1,23,0,24,192
HG02020,134,36,19,3,58,192
HG01878,172,18,2,0,20,192
HG02085,151,25,16,0,41,192
HG01598,176,2,0,14,16,192
HG01872,169,5,18,0,23,192
HG02073,173,2,17,0,19,192
HG01845,167,0,3,22,25,192
HG02032,156,23,13,0,36,192
HG02088,167,2,23,0,25,192
HG01840,176,1,2,13,16,192
HG01855,167,1,24,0,25,192
HG02050,165,1,4,22,27,192
HG01844,177,1,14,0,15,192
HG02067,176,14,2,0,16,192
HG02133,179,0,13,0,13,192
HG02127,187,0,5,0,5,192
HG02512,155,14,23,0,37,192
HG02040,168,0,2,22,24,192
HG01859,167,24,1,0,25,192
HG02078,167,3,22,0,25,192
HG02070,188,1,3,0,4,192
HG02029,166,2,24,0,26,192
HG02116,174,2,3,13,18,192
HG01842,167,2,1,22,25,192
HG01867,154,22,16,0,38,192
HG02060,154,24,14,0,38,192
HG01843,170,0,22,0,22,192
HG02028,166,22,4,0,26,192
HG01861,187,2,3,0,5,192
HG01869,169,1,22,0,23,192
HG01865,175,16,1,0,17,192
HG01848,153,23,16,0,39,192
HG02048,155,22,15,0,37,192
HG02130,166,2,24,0,26,192
HG01595,154,14,24,0,38,192
HG01860,134,19,36,3,58,192
HG01853,188,3,1,0,4,192
HG02139,189,2,1,0,3,192
HG02121,153,14,25,0,39,192
HG01858,170,0,0,22,22,192
HG02058,189,2,1,0,3,192
HG02076,167,3,22,0,25,192
HG02131,156,22,14,0,36,192
HG02522,165,3,24,0,27,192
HG02019,167,24,1,0,25,192
HG01851,133,20,36,3,59,192
HG02016,163,4,25,0,29,192
HG01874,169,19,4,0,23,192
HG02057,168,1,23,0,24,192
HG02521,172,15,5,0,20,192
HG02035,155,24,13,0,37,192
HG02025,154,22,16,0,38,192
HG02128,168,23,1,0,24,192
HG01862,153,24,15,0,39,192
HG02134,156,23,13,0,36,192
HG02082,154,16,22,0,38,192
HG02122,152,36,4,0,40,192
HG01870,186,4,1,1,6,192
HG02136,166,22,4,0,26,192
HG01852,179,0,0,13,13,192
HG02137,153,25,14,0,39,192
HG01850,166,1,3,22,26,192
HG01857,167,2,1,22,25,192
HG02061,152,24,16,0,40,192
HG02142,155,14,23,0,37,192
HG01863,168,1,23,0,24,192
HG02026,156,13,23,0,36,192
HG01871,178,13,1,0,14,192
HG02141,184,4,4,0,8,192
HG01873,167,4,21,0,25,192
HG02049,175,14,3,0,17,192
HG02086,177,13,2,0,15,192
HG02113,185,3,4,0,7,192
HG01847,174,4,14,0,18,192
HG02513,50,3,3,0,6,56
HG02138,48,7,1,0,8,56
HG02075,55,0,1,0,1,56
HG02031,47,4,5,0,9,56
HG02084,55,1,0,0,1,56
HG02047,48,2,6,0,8,56
HG01597,55,1,0,0,1,56
HG01849,55,1,0,0,1,56
HG02023,53,0,1,2,3,56
HG01846,55,1,0,0,1,56
HG02081,55,0,1,0,1,56
HG01599,56,0,0,0,0,56
HG01866,50,6,0,0,6,56
HG02064,50,5,1,0,6,56
HG02069,56,0,0,0,0,56
HG02087,49,7,0,0,7,56
HG02017,55,1,0,0,1,56
HG01864,49,1,6,0,7,56
HG01868,49,7,0,0,7,56
HG01596,54,1,1,0,2,56
HG02072,56,0,0,0,0,56
HG02079,55,1,0,0,1,56
HG01600,51,0,5,0,5,56
HG02140,56,0,0,0,0,56
HG01841,54,2,0,0,2,56
HG02020,55,1,0,0,1,56
HG01878,55,0,0,1,1,56
HG02085,56,0,0,0,0,56
HG01598,54,2,0,0,2,56
HG01872,55,0,1,0,1,56
HG02073,52,1,3,0,4,56
HG01845,56,0,0,0,0,56
HG02032,51,5,0,0,5,56
HG02088,48,5,3,0,8,56
HG01840,52,0,4,0,4,56
HG01855,50,5,1,0,6,56
HG02050,46,3,7,0,10,56
HG01844,51,3,2,0,5,56
HG02067,50,4,2,0,6,56
HG02133,55,1,0,0,1,56
HG02127,52,2,2,0,4,56
HG02512,54,0,2,0,2,56
HG02040,54,0,0,2,2,56
HG01859,54,2,0,0,2,56
HG02078,49,7,0,0,7,56
HG02070,55,0,1,0,1,56
HG02029,48,3,5,0,8,56
HG02116,51,0,5,0,5,56
HG01842,55,0,1,0,1,56
HG01867,56,0,0,0,0,56
HG02060,55,1,0,0,1,56
HG01843,56,0,0,0,0,56
HG02028,50,5,1,0,6,56
HG01861,55,1,0,0,1,56
HG01869,55,0,1,0,1,56
