genome,variant_count
HG01842,1339
HG01872,1285
HG02087,1281
HG01858,1277
HG01864,1269
HG02048,1258
HG02127,1249
HG02025,1241
HG02064,1226
HG02137,1225
HG02131,1212
HG02116,1200
HG02078,1198
HG02067,1157
HG01845,1155
HG01869,1150
HG02075,1138
HG01852,1117
HG01859,1089
HG02019,1076
HG01867,1074
HG02031,1064
HG02016,1045
HG01862,1041
HG02121,1031
HG02134,1027
HG01878,1007
HG01853,1005
HG02023,1004
HG01599,986
HG02142,981
HG01846,973
HG02521,968
HG01871,966
HG02032,962
HG02140,959
HG01851,954
HG02088,950
HG01863,945
HG02058,937
HG01597,923
HG01850,916
HG02133,913
HG02069,911
HG02513,907
HG02076,902
HG02050,896
HG01865,891
HG02026,878
HG01866,875
HG02035,867
HG01874,864
HG01855,863
HG02028,860
HG01870,860
HG01841,857
HG02073,850
HG01598,842
HG02029,813
HG02141,808
HG02128,801
HG02136,793
HG01843,793
HG01849,792
HG01857,782
HG01860,774
HG02040,771
HG02081,770
HG02057,759
HG02082,740
HG02512,739
HG01844,735
HG02079,723
HG02138,722
HG01840,719
HG01848,714
HG02061,702
HG02085,701
HG02122,698
HG02049,685
HG02070,678
HG02047,675
HG02084,665
HG02020,655
HG02072,649
HG02113,637
HG02139,626
HG02017,618
HG02522,613
HG02060,608
HG01868,605
HG01861,591
HG01873,582
HG01600,578
HG01595,577
HG02130,573
HG02086,541
HG01847,478
HG01596,397
